-1:45 | (Member (2 months)) third12[三塁]
44:47 | (Member (2 months)) Bishi Lover: Congras on your amazing outfit! Millie! :orange_heart::orange_heart::orange_heart:
44:47 | (Member (2 months)) *MX$125.00* Luis Sandoval: My cat witch oshi can't be this cute
44:47 | (Member (6 months)) *$10.00* Arnulfo Mendez: what we got is cute enough that the troll was worth it
44:48 | (Member (6 months)) myrrhmidon: YOU ARE SO CUTE MILLIE! I ALWAYS BELIEVED THE BOOBA IS REAL!
44:53 | (Member (6 months)) *$10.00* SeaCrane1: The outfit is so CUTEEEEE :_MillieHeart::_MillieHeart:
44:58 | (Member (6 months)) *$5.00* Pinkerton: Goodbye Hat, hello Fork. □
44:58 | *R$5.00* Ezequias Lima: OMG! THE FINAL! THE CROWN FORM OF THE HAT! AND THE FORK! THE WAS AMAZING! 
44:59 | (Member (2 months)) Abim Kramat: :_MillieHeart::_MillieHeart::_MillieHeart::_MillieHeart:
44:59 | (Member (6 months)) the_void: :camera_with_flash::camera_with_flash::camera_with_flash::camera_with_flash:
45:01 | (Member (6 months)) *R$10.00* woda the hedgehog: looking super cute :_MillieHeart:
45:02 | (Member (2 months)) *$5.00* Propanecoke: Super Cute! :_MillieHeart::_MillieHeart::_MillieHeart:
45:02 | *IDR 50,000.00* just someone who wants to enjoy the world: the booba physics went to her hair
45:05 | (Member (6 months)) CheeseJAM: Where is Lucy?□□□
45:05 | (New member) AiKaChii
45:07 | (Member (6 months)) *€5.00* Hey Guys: My unfiltered 3 INT Kami-Oshi can't be this cute! 
45:07 | (Member (2 months)) TheCanti
45:07 | (Member (6 months)) Croos: :_MillieBurn:
45:08 | *$3.00* trish trish
45:10 | *$2.00* GALIL_Weevil33 Twitch & Youtube: OH NO SHES HOOOOT
45:12 | (Member (6 months)) Mirko D: Millie I love your new outfit! You look so cute! Love you my oshi!:_MillieHeart: And congrats to the original song it was beautiful! Good job Millie we love you!:_MilliePat::_MillieHeart:
45:12 | (Member (2 months)) rarai: SO ADORABLE PRETTY MAJESTIC DIVINE :_MillieHeart::_MillieHeart:
45:14 | (Member (2 months)) third12[三塁]: Millie you are so cute :_MillieFlushge::_MillieHeart:
45:15 | *$5.00* NekoNeme: you dissed your hat for cat ears!?!?
45:16 | (Member (6 months)) Alterchemist: :_MillieHeart::_MillieHeart::_MillieHeart::_MillieHeart::_MillieHeart:
45:17 | (Member (6 months)) *CLP 5,000* RowJ: :_MillieBurn:There are no bobas, but gosh, you're so cute, boss! The queen of the cults!:_MillieBurn: Love love loveeee uuuu~:_MillieHeart::_MillieHeart::_MillieHeart:
45:18 | (Member (2 months)) Namoon Qiu: □□□beautiful!!!!!!
45:19 | (Member (1 month)) *$5.00* Majin D: you look super cute and pretty, Millie~ :smiling_face_with_hearts: you sounded beautiful in the song too~
45:19 | (Member (2 months)) Majkatt: Gifted 5 Millie Parfait【NIJISANJI EN】 memberships
45:19 | (Member (6 months)) Bug Cami: You're incredible, please be my oshi
45:20 | *$50.00* The Shrimp Cloud: if you want your padding to jiggle buy some less stiff ones... BHAHA :face_with_tears_of_joy:. Anyways I'm ready for my Timeout
45:23 | *$40.00* Kim: To the :crown: of :club_suit:
45:24 | (Member (2 months)) Alexx: so CUTE:_MillieClap::_MillieHeart:
45:28 | *₱269.00* Maddie VTuber Ch. マーディ: MILLIEEE Congrats on the new CUTEEE costumeee I lovee youuu :loudly_crying_face::yellow_heart::blue_heart::purple_heart:
45:29 | (Member (1 month)) 蕃茄咖哩tomato_curry: CUTEEE MILLIE~~~ I LOVE your cutie hair~~!!
45:29 | (Member (6 months)) Sydfrey : Cutest witch :_MillieBurn:Also the song was suuuper good
45:37 | (Member (6 months)) testchief: Cool outfit
45:37 | (Member (2 months)) Lya 🌻: your outfit is so cuteeeee!!! eventhough i got scammed, still love you, orisong and new outfit!!
45:43 | (New member) Taishi Laforet Ch.
45:47 | (New member) *₱25.00* Maksi
45:52 | *HK$25.00* sawa澤: I love you babe:red_heart::red_heart: congrats on your new outfit :partying_face::partying_face::partying_face:
45:52 | *₱125.00* Boys Love and Taxation: Congratulations Millie & Team! Your new outfit is so gorgeous! Hat-san replaced by Crown-san. Lore song is so beautiful too. Also, lace jiggle TSKR! 
45:53 | (Member (2 months)) *HK$50.00* B LUE: millie super cute:yellow_heart::yellow_heart:
45:57 | (Member (6 months)) 611: :_MillieHeart::_MillieHeart::_MillieHeart:
45:58 | (Member (2 months)) Pam Milby: millies fork is my new oshi
46:04 | (New member) *$10.00* SongfulRacer91: YOU'RE SO CUTE WE ALL LOVE YOU!!:_MillieHeart::_MillieTskr:
46:12 | *$5.00* Paws&Pals: Very cute. Congratulations
46:35 | (Member (6 months)) *₱250.00* Letum Falx: Thanks for the original song and congrats on the new outfit! Very cute!
46:38 | (Member (2 months)) *¥2,000* まる: so cute millie:loudly_crying_face:congrats!!!
46:42 | (Member (1 month)) *HK$158.00* Rain Misty: You’re sooo cute!!! Even you don’t have your bread.
46:43 | (Member (2 months)) 孔晨子 JR: Both happy and sad at the same time when finally know that Millie still has no booba :_MillieCope:love you no matter with or without booba :_MillieHeart:
47:01 | (Member (2 months)) Jerry: I actually, 100% completely fell 4 that. U got me
47:09 | (Member (2 months)) *HK$100.00* yk. (よこ): You are sooooo cuteeeeeee:_MillieHeart::_MillieHeart::_MillieHeart:
47:18 | (Verified) *₱250.00* Kiichan Ch. 狐井アキラ: you're so pretty my queen
47:31 | (Member (6 months)) ねろみ: :_MillieHeart::_MillieHeart::_MillieHeart:
47:34 | (Member (2 months)) 🍌🍌Angel Tsai: :_MillieHeart::_MillieHeart::_MillieHeart:
49:30 | (New member) Sufi013
49:38 | *$4.99* AsuNyan: the scam was very entertaining and your new outfit is amazing
50:09 | (Member (6 months)) *$10.00* Voitan: Cute Millie! :_MillieBurn:
50:39 | *THB 150.00* Bamboo : this look is so cute!! can't wait to draw some fanart of you in it ; ; 
51:51 | (Member (6 months)) *$20.00* NotoriousBSG82: Once again, love both your original song and your new outfit, who needs bread! You are my oshi now and forever! :_MillieHeart::_MillieHeart::_MillieHeart:
51:58 | (New member) Atom
52:07 | (Member (6 months)) Kamote King 🍠👑: WE HAVE EVOLVED BOYS
52:15 | (New member) MaceMage 
52:20 | (Member (6 months)) Yu Ui Corle【ユ ウイ コリ】: :_MillieHeart::_MillieHeart::_MillieHeart:
52:34 | (Member (6 months)) *$100.00* Nice Hat: The new outfit is really cute! The new song is also great!! :_MillieBurn: Congratulations on both Millie! Thanks for all of your hard work.
52:38 | (New member) Whitlock Sholmes
52:48 | (New member) Rel
52:53 | (Member (2 months)) YiMo: Congrats on your new outfit and original song Millie :_MillieHeart:
52:59 | (Member (2 months)) lMi: :_MillieHeart:
53:05 | (Member (6 months)) Kujira: :_MillieHeart::_MillieHeart::_MillieHeart:
53:10 | (Member (2 months)) Wallace Purge: CONGRATS MHIEEEE
53:16 | (New member) Nala Ch.
53:24 | (Member (1 month)) Masato Kaien: :_MillieHeart::_MillieHeart::_MillieHeart:
53:28 | (Member (6 months)) Flynn: Gifted 20 Millie Parfait【NIJISANJI EN】 memberships
53:29 | (Member (2 months)) CoffeeSipping: :_MillieHeart::_MillieHeart:
53:41 | (Member (2 months)) Polvoron Lover: I LOVE YOU MILLLIEEEEE
53:41 | (New member) Yaminiඞ
53:43 | *₱50.00* syzion: So happy for you Millie! Congratulations!!!:red_heart:
53:46 | (Member (2 months)) *¥1,000* Nekoya Shiki: You're beautiful:_MillieHeart: Thank you for existing Millie□
53:50 | (Member (6 months)) あわき: :_MillieHeart::_MillieHeart::_MillieHeart:
54:03 | (New member) Capo
54:22 | *$5.00* Skyshield: apology not accepted, I was cheering for you that you got booba
54:32 | (New member) T ́u`ng
54:36 | (New member) Emilia
54:43 | (Member (6 months)) MausAssassin: Congratulations :_MillieLetterM::_MillieLetteri::_MillieLetterL::_MillieLetterL::_MillieLetteri::_MillieLetterE:!!!! You are so CUTEE!!! □□:_MillieHeart::_MillieTskr:
54:55 | (New member) Miu
55:12 | *₱250.00* Josh Fernandez: I love your new song! 
55:16 | (New member) Malluc
55:29 | (Member (6 months)) *$2.00* NotoriousBSG82: OMG THE HARMONIES:_MillieTskr::_MillieTskr::_MillieTskr:
55:38 | (Member (1 month)) Johnathan Kai: :_MillieHeart::_MillieHeart::_MillieHeart:
55:40 | (Member (6 months)) Noxy: Congratzz on 2.0 and original song!! I love the outfit and song so much :_MillieHeart::_MillieHeart:
55:48 | (New member) hyuni
55:48 | (Member (6 months)) DoDonnie
56:07 | (New member) Queena
56:08 | *A$10.00* muriax: Is this what heaven is? 
56:11 | (Member (6 months)) Walu | ワルイーノ
56:17 | (Member (1 month)) Elenayave 🖋️
56:19 | (New member) jin
56:41 | (New member) Indigo
57:16 | (Member (2 months)) TicketCYL票根🦘: this is so beautiful:_MillieHeart::_MillieHeart::_MillieHeart::_MillieHeart::_MillieHeart:and you are beautiful too□
57:17 | (Member (6 months)) Silverfang30: Great new outfit and amazing original song!
57:21 | *$10.00* Conny Lee: New viewer here, judging from your voice and personality, you mjst be one of those seiso vtubers.
57:40 | (New member) *R$5.00* Domecq 🥃: Millie, where are your toggles, honey
57:42 | (Member (2 months)) MrDrProfErick: Love your outfit, you look so cute!:_MillieHeart:
58:20 | *₩7,500* Tenmachama
58:24 | (New member) Yazeshi
58:44 | (Member (6 months)) ToanShirotaka: THE HAT! THE HAT! THE HAT! THE HAT! THE HAT!
59:02 | (New member) ercuhh
59:31 | (Member (2 months)) Peter: where is da boing?
59:38 | (Member (2 months)) *$24.34* Murphy: HAT HAT HAT HAT HAT :_MillieBurn: HAT HAT HAT HAT HAT :_MillieBurn: HAT HAT HAT HAT HAT 
59:57 | (Member (6 months)) Mauricio: really cute!!! congrats on your new outfit!:_MillieHeart::_MillieHeart:
1:00:06 | *$2.00* Victor's Ace: Millie you're super cute!!
1:00:09 | (Member (6 months)) SelvariaBles: The hat is alive!
1:00:24 | (Member (1 month)) *¥500* じゅうろうざ_Jurouza: NijiUK's harmony is very nice and great, congratulations on the original song and new super cute outfit Millie-chan:orange_heart:
1:01:01 | (Member (6 months)) *$5.00* Arnulfo Mendez: □□□MY OSHI LIVES!:_MillieLUL::_MillieLUL::_MillieLUL:
1:01:20 | (Member (2 months)) 🍌🍌荒川Aya: :_MillieHeart::_MillieHeart::_MillieHeart:
1:01:27 | *$10.00* 🧚‍♀️ Faerieko: Millie your outfit is literally SO many things I love in aesthetics so I'm eating this up! Also, I hope when I die I hear you all harmonizing too tskr otherwise gonna be looping your new song :two_hearts:
1:01:34 | *¥1,000* リアンヌイRiaNui_ww
1:01:35 | (Member (6 months)) Nice Hat: :_MillieHeart::_MillieHeart::_MillieHeart:
1:01:39 | (Member (6 months)) *$5.00* MechaSaurus 2.0: Hat Oshi is over Time For New Oshi The Fork
1:01:42 | (Member (6 months)) *$5.00* Mikava: Millie, congratz on the new costume and original song, it's amazing and well deserved! 
1:01:49 | (Member (6 months)) TrieAgein: Congrats Millie! That was great!
1:02:06 | (Member (2 months)) *$20.00* evedel09: □
1:02:13 | (Member (6 months)) *$5.00* NotoriousBSG82: Your outro is so cute Millie, thanks for the outfit reveal stream and the orignal song! :_MillieHeart::_MillieHeart::_MillieHeart::_MillieHeart:
1:02:19 | (Member (2 months)) *$5.00* Zingly06: Congrats Millie! What an amazing new outfit! This outro too! :_MillieRelax:
1:02:23 | *$4.99* Salty Z3r0: You look great Millie, and banger song, we can try again for booba next time :thumbs_up:
1:02:38 | (Member (6 months)) *NT$15.00* Yu Ui Corle【ユ ウイ コリ】
1:03:07 | (Member (2 months)) Kin_ERROR_OwO: Thank you so much millie!!congrats on your outfit!
1:03:19 | (Member (6 months)) *$5.00* espyboy: You and Reimu really spoiled us today!! Thank you so much and congrats on the new outfit and original song!!
