-0:09 | (Member (2 months)) Kyuu (Reimu's wife) 
1:34:07 | (Member (6 months)) *$5.00* Dr. S. Shenanigans: Better w/o makeup; makeup makes a sus Reimu even more SUS
1:34:46 | (Member (2 months)) *HK$250.00* yk. (よこ): You're so beautiful my Queen:_ReimuLove:
1:35:29 | *$5.00* NS-519🐣🏆: All hail queen staff-chan
1:35:29 | *$5.00* Mikava: Queen of hearts is very fitting for you Reimu and youre outfit is gorgeous!
1:36:25 | (Member (1 month)) Princess Bean: mommy
1:37:08 | (New member) *HUF 1,000* Elis Nene: You are beutiful no matter what.
1:37:16 | *$2.00* YukiNagato60: bonita...
1:37:37 | (Member (2 months)) *CZK 50.00* Max Maxwell: :_ReimuLove: cute
1:37:42 | (Member (6 months)) *€5.00* Mirko D: I love you Reimu no matter what! You are my kami oshi!
1:37:53 | *$5.00* Skyshield: love the thighs, questions aside. and make-up or not, you're cute!
1:38:17 | (New member) *NT$33.00* Yuhui Pai
1:38:35 | *$5.00* Pinkerton: :folded_hands:Reimu's Snack Fund:folded_hands:
1:40:04 | *¥300* Non-Non-noah: 新衣装おめでとう〜！れいむちゃん可愛いです:ghost::white_heart:
1:40:31 | (Member (6 months)) *MX$25.00* Otto Crossheart: Salve Reimu, Reina de los pasivos y los trolleados
1:45:03 | (Member (1 month)) Skylar Rose ⚡️
1:46:38 | (Member (6 months)) Cofi Mau: :_ReimuLoad:
1:46:39 | (Member (1 month)) John Doe: test
1:46:41 | (Member (6 months)) Mumei Roran: love you queen
1:46:44 | (Member (1 month)) Noirlyn 【Noween】Small Guy 
1:46:47 | (Member (2 months)) *$5.00* Delta 57 Dash: Test Super pls ignore
1:46:49 | *HK$10.00* Ariel_KM: THERE YOU GO QUEEN
1:46:52 | (Member (2 months)) *$2.00* miaowpuff -: supa
1:46:53 | (New member) Eesha the office lady
1:46:53 | (Member (6 months)) *HK$10.00* 彼ピッピ: :_ReimuOHA::_REIMU::_ReimuLove:
1:46:53 | *$2.00* 𝗡𝗮𝗻𝗮⭐️: testing uwu
1:46:53 | (Member (6 months)) *AED 5.00* Wind
1:46:54 | *$5.00* Ignis [He•Him]: I VOLUNTEER 
1:46:54 | *$5.00* Deraru's World: test
1:46:55 | (Member (2 months)) *HK$15.00* yaho: YES
1:46:55 | (Member (6 months)) *TRY 50.00* Mr. Nid: YES QUEEN
1:46:55 | (New member) *HUF 1,000* Elis Nene: here
1:46:56 | (New member) Burning Froze
1:46:57 | (Member (2 months)) *$5.00* IcyMeerkat: yes maam
1:46:57 | *$2.00* Pinkerton: Superchat test
1:46:57 | (Member (6 months)) vctr78: Like this?:_ReimuLove:
1:46:57 | (Member (6 months)) *R$2.00* woda the hedgehog: As you wish, queen.
1:46:58 | (New member) *$5.00* NotoriousBSG82: :_ReimuLove:
1:46:59 | (New member) NotSoDeadpool15
1:47:00 | (New member) Riye Rose
1:47:01 | *$5.00* NS-519🐣🏆: I refuse
1:47:02 | (New member) NekuDash
1:47:03 | (Member (6 months)) *$2.00* Sanera: No
1:47:04 | (Member (6 months)) *CA$5.00* miniscooter
1:47:04 | *$4.99* MT: So cute 
1:47:04 | (Member (2 months)) *A$5.00* ChickenKaichou
1:47:06 | *$2.00* megan-senpai [knuckle cracks tskr]: o7
1:47:07 | (Member (6 months)) *$10.00* Den Denra: :_ReimuLove::_ReimuLove:
1:47:08 | (Member (2 months)) *₱125.00* Layze: :_ReimuLove:
1:47:08 | (New member) Vicky Yu
1:47:09 | (Member (2 months)) *₱125.00* NEON: ok
1:47:12 | *$2.00* Tibbits001: super chat on demand 
1:47:13 | (Member (2 months)) *HK$8.00* 00z_Lynn
1:47:14 | (New member) *NT$33.00* Yuhui Pai
1:47:15 | *$9.99* rotmire rob: Test
1:47:17 | (Member (2 months)) JavaSprinkles: :_ReimuLove::_ReimuLove::_ReimuLove::_ReimuLove:
1:47:18 | (Member (6 months)) *MYR 30.00* Sabrina: Here you go Queen!!
1:47:18 | (New member) starlit_radiant
1:47:20 | (New member) Laj Luke
1:47:20 | *MYR 15.00* Kawane Kiiro : LETS GO REIMUMU 
1:47:20 | *$4.99* Aeron Scott: I gotchu
1:47:21 | (New member) Evelyn 冬りん
1:47:21 | (Member (6 months)) Nona
1:47:24 | *$49.99* Dino: :sparkling_heart:
1:47:24 | *$5.00* Nice Hat
1:47:29 | (Member (1 month)) Alejandro Soto
1:47:29 | (Member (6 months)) *COP 20,000.00* Mr Dave: Free supas?
1:47:31 | (Member (6 months)) *ARS 225.00* 墨黎ロナ: :_ReimuLove::_ReimuLove::_ReimuLove:
1:47:35 | (Member (2 months)) *NT$30.00* Yuwi
1:47:35 | (Member (6 months)) 莫晞（Mosi）: :_ReimuLove::_ReimuLove::_ReimuLove:
1:47:39 | (Member (6 months)) *€5.00* Apostel Sven: Your new outfit looks awesome - need it as Acryl stand ASAP 
1:47:41 | *AED 36.99* Aiと: Of course 
1:47:44 | (Member (1 month)) Frankreaper: Reimu
1:47:47 | (Member (2 months)) htirea: :_ReimuLove::_Nadenade:
1:47:48 | (Member (2 months)) ceramic_blade: adorable:_ReimuLove:
1:47:50 | (Member (2 months)) ショウ_HSIU: We love you so much queen:_ReimuLove:
1:47:52 | (Member (2 months)) *NT$150.00* gyoukokun: QUEEN:_ReimuLove::_ReimuLove::_ReimuLove: MY KAMI OSHI:_ReimuLove::_ReimuLove::_ReimuLove: 
1:47:55 | *$2.00* WireSun7: Congrats on the new outfit Reimu.
1:47:57 | (New member) マルマル (MaruMaru)
1:47:57 | (Member (1 month)) りま: :_ReimuLove:
1:47:58 | *NT$75.00* Lucia: ok
1:47:59 | (Member (2 months)) Layze: My queen is so gorgeous :_ReimuLove:
1:48:01 | (Member (1 month)) SolaBiuBiuBiu
1:48:04 | *HK$25.00* Mangur Farmur 🥭 :3: QUEEN
1:48:05 | (Member (1 month)) *$1.99* TriPrincess: Super chat for my queen! :princess::crown::growing_heart::red_heart::black_heart:
1:48:07 | (New member) Peacepeach
1:48:12 | *₱50.00* KYOUSHA: ayy lmao
1:48:13 | (New member) Rick
1:48:14 | (Member (2 months)) 00z_Lynn: :_ReimuLove::_ReimuLove::_ReimuLove:
1:48:18 | *$4.99* Lilly Hong: Congrats on ur new outfit Reimu~ also Poppi <3
1:48:19 | (Member (6 months)) *HK$25.00* Dusk♡: Let's go!!!
1:48:19 | (Member (1 month)) shotokeiki🍰: likey
1:48:21 | (Member (2 months)) 雷涓 Jane Lei
1:48:41 | (Member (2 months)) Shisuii Karasumori : you are so cute and gorgeous reimu-sama:_ReimuLove::_ReimuLove::_ReimuLove:
1:48:47 | (New member) appearance: Gifted 5 Reimu Endou【NIJISANJI EN】 memberships
1:48:52 | (Member (6 months)) T-Mo Fisher [ティモ]: Getting my once-a-month Reimu contact
1:49:03 | *$1.99* YūCracK Eᴇ: KISSSYY
1:49:30 | (New member) KC
1:50:29 | (New member) Honeybee Ami
1:51:41 | (Member (2 months)) *NT$150.00* Kellykelly: You look so gorgeous my queen:_ReimuLove:
1:51:48 | (Member (2 months)) Becky
1:53:26 | (Member (6 months)) NoxShadow: Gifted 5 Reimu Endou【NIJISANJI EN】 memberships
1:58:41 | (Member (6 months)) *MX$65.00* Drack Frue: :_ReimuLove:How to be down bad for a person in less than 3 minutes :_ReimuLove:
1:59:26 | (Member (6 months)) Binns: Your mama did an amazing job on the new outfit
2:00:25 | *CHF 20.00* Tree Bobber: Ok, but where is the most important part aka the back?
2:01:00 | *CHF 10.00* Tree Bobber: Ok, there is the back. TSKR
2:04:19 | (Member (6 months)) *$5.00* bignanime: This is an awesome and adorable new outfit. 
2:05:13 | (New member) ItsukiP
2:06:34 | (Member (6 months)) Lillie: crying sobbing weeping squealing bawling about this outfit it’s so cute :_ReimuLove::_ReimuLight:
2:07:34 | (Member (6 months)) Itzea: :folded_hands: Reimu's back :folded_hands:
2:08:06 | (Member (1 month)) Smug Goht: :folded_hands:REIMU'S BACK:folded_hands:
2:08:31 | (New member) Sergio Rubiano
2:08:44 | *$10.00* StreyX: Your model makes it look like you can do pull-ups for days. 
2:10:56 | (New member) Emiriko ch.🌸🍃
2:11:34 | *$10.00* Vivek: ur dress is simply gorgeous so much wonderful little flairs truly the queen
2:16:39 | (Member (6 months)) Drack Frue: :_TSKR::_TSKR::_TSKR:
2:23:58 | (New member) 埃埃是隻大金毛
2:25:11 | (Member (6 months)) *€5.00* Mirko D: Reimu you are so pretty I can't stop looking at you, that smile of yours is even more beautiful now. You are the best Reimu. We love you!:white_heart:
2:25:53 | *$40.00* Kim: :crown::red_heart:Indeed. 
2:26:33 | (Member (2 months)) sBurban👻🎰: Congratulations on your marvelous new outfit Queen :_ReimuLove:. And even more congratulations on finally remembering the Lore :_ReimuHEH:! Love ya~ (platonically)
