-0:09 | (Member (2 months)) Kyuu (Reimu's wife) 
10:32 | (Member (2 months)) Square Ch.: I can't wait Reimu:_ReimuLove::_ReimuLove::_ReimuLove::_ReimuLove:
10:47 | (Member (2 months)) らら
11:03 | (Member (1 month)) Nirin
12:17 | (Member (6 months)) Kodax [Void]: :_EndouCrest:queen of hearts:_EndouCrest:
12:43 | (Member (6 months)) Mr Dave: :_ReimuShy::_ReimuShy::_ReimuShy:
14:05 | (New member) ann
15:59 | (Member (2 months)) Nelo Vee: Love the ok hand emoji
16:47 | (New member) *$4.99* Noir: Stuck at work but LESGOOOOOOO
17:43 | *HK$15.00* BLUE BLUE: Love Love Love:red_heart:
17:52 | (Member (2 months)) つじ: :_ReimuLove::_ReimuLove::_ReimuLove:
18:49 | *$5.00* Love Colored Master Swag: i gotta go to work soon but i just wanted to say congrats on your new outfit Reimu:double_exclamation_mark:ill be looking forward to the vod later :folded_hands:
19:19 | (Member (2 months)) Razante🗝️🍭 : :_ReimuLove:this is my first month as a non-gifted member love your content keep up i'm so excited for your new outfit 
20:20 | (Member (2 months)) Sarina: New outfit yayyy :_ReimuLove::_ReimuLove::_ReimuLove:
21:34 | *$4.99* HollyJollyPaca: Can’t stay but congrats on new wardrobe!! :smiling_face_with_hearts::sparkles:
21:51 | (Member (2 months)) Mao yu: :_ReimuLove::_ReimuLove::_ReimuLove:
23:59 | (New member) Drago der Brotmeister
30:03 | *$1.99* Greg D: AYO REIMU's NEIGHBOR, We doing something important
30:06 | (Member (6 months)) ryry: hiiiiiiiiiiiiiiii
31:13 | (Member (6 months)) mii: :eyes::eyes:
31:16 | (Member (2 months)) *₱125.00* NEON: :_ReimuLove::_ReimuLove::_ReimuLove:
31:42 | *MYR 9.90* Matsuo Akira Ossan: :folded_hands:Reimu's back:folded_hands:
31:46 | (Member (2 months)) shallshell: ドキドキ:_ReimuLight::_ReimuLight::_ReimuLight:
32:36 | (Member (2 months)) IcyMeerkat: reimu is indeed the queen of my heart:_ReimuLove::_ReimuLove::_ReimuLove:
32:55 | (Member (6 months)) Miguel Bautista: hypeeeeeeee:_ReimuLight::_ReimuLight::_ReimuLight::_ReimuLight::_ReimuLight::_ReimuLight::_ReimuLight:
33:56 | (Member (6 months)) Montes12: REIMU DID YOU SHOW THAT AND DID THE THING? PAST REIMU LEFT YOU A MESSAGE
35:51 | (New member) min lin
35:59 | *MYR 9.90* Matsuo Akira Ossan: :folded_hands:Reimu mama:folded_hands:
36:14 | (New member) MS
37:15 | (Member (1 month)) ━ ‧ ♡ hana.
37:40 | (Member (6 months)) *R$10.00* Grey Hare Archie: :folded_hands:REIMU'S THIGHS:folded_hands:
37:41 | (Member (6 months)) 彼ピッピ: Gifted 10 Reimu Endou【NIJISANJI EN】 memberships
37:49 | (Member (6 months)) Leoje: Absolute Territory!!!! :_ReimuLove::_ReimuLove::_ReimuLove:
38:11 | *PEN 2.00* Luis Enrique: pa...pa...patas :smiling_face_with_hearts::smiling_face_with_heart_eyes:
38:19 | (Member (6 months)) *COP 20,000.00* Mr Dave: :_TSKR::_TSKR::_TSKR::_ReimuShy::_ReimuShy::_ReimuShy:
38:28 | *$5.00* Salty Z3r0: :folded_hands:Reimu's Thighs:folded_hands:
38:37 | (Member (2 months)) NEON: Gifted 1 Reimu Endou【NIJISANJI EN】 memberships
38:49 | *€2.00* SunriseValley: her thighs are pw locked
39:02 | (Member (6 months)) *$24.34* Splagoon: excuse me ma'am I am very tired may I rest on your lap :_ReimuShy:
39:10 | *NOK 1,000.00* 3R1kify: thats the stuff
39:11 | (Member (2 months)) vivian z.: :_TSKR::_TSKR::_TSKR::_TSKR:
39:11 | (Member (6 months)) *CA$5.00* DevSleeps: the tripping makes you extra cute it's ok
39:14 | *IDR 9,900.00* Ohareza
39:25 | *$2.00* vante2: Join a Room
39:29 | (Member (2 months)) Cobalnite: laughing is a form of love I guess
39:39 | *MYR 6.00* Xanxus998: Reimu is going to need therapy for trust issues 
39:44 | (Member (6 months)) Vic: Legs TSKR :folded_hands:
39:49 | *$1.99* Stefano Biga: Que hermosura de vestido panaaaaaaaaaaa
40:04 | (Member (6 months)) 稲月こさき: TSKR！！！！！:_ReimuLove::_TSKR::_TSKR:
40:09 | (Member (2 months)) *CLP 1,000* RowJ: AAAAAAAAHHHHHHHHH!!!! GOKUUUUUUUU!!!!! those legs~
40:12 | (Member (2 months)) B LUE: omg, the queen of my heart:_ReimuLove::_ReimuLove:
40:26 | (Member (6 months)) *¥500* デスヨ。: 大変お似合いでございます、霊夢お嬢様
40:28 | (Member (2 months)) *$5.00* saku: YOU WANT ME TO PUT ONE FINGER WHERE
40:41 | *SGD 10.00* Kakei Tenjiku: SO beautiful! ! ! ! You are the best cutest girl ever! !
40:41 | *CA$0.99* Daniel Rose
41:29 | (New member) Maru
41:30 | (Member (6 months)) Liu Liu: My Queen!!!!!:_ReimuChuu::_ReimuChuu::_ReimuChuu:
42:01 | (Member (6 months)) AC Walker: WOOF WOOF BARK GRR WOOF BARK GRRRR WOOF 
42:29 | (Member (6 months)) Reimu's Gravekeeper : WOOF WOOF WOOF WOOF BARK BARK BARK 
42:44 | *$4.99* 𝒥𝑒𝓃𝓃𝓎-𝒶𝓁𝑒𝓍: Por favor mi reina :red_heart:
43:08 | (Member (6 months)) *CLP 1,000* Huruz: que le ladre dijo GAUAAUU GRRER MIAU 
43:10 | (Member (6 months)) 御神楽【mikagura】: :_ReimuLove::_ReimuLove::_ReimuLove::_ReimuLove::_ReimuLove::_ReimuLove::_ReimuLove:
43:50 | (Member (6 months)) *$5.00* Vic: LEGS ONLY STREAM LET'S GOOOOOOO
43:58 | *¥2,434* たっぴー: :smiling_face_with_hearts:
44:37 | (Member (2 months)) フレアイヤー: :_ReimuLove::_ReimuLove::_ReimuLove::_ReimuLight::_ReimuLight::_ReimuLight::_TSKR:
45:07 | *$1.99* Tai-Lee 👍: Scratch me 
45:22 | (Member (6 months)) JDanielo: PLEASE SCRATCH ME TO DEAD, MI REINA :red_heart:
47:12 | (Member (2 months)) Seiyuu
50:17 | (New member) Delques1843
50:48 | (Member (6 months)) RedRaccoon
51:49 | *$10.00* StreyX: You have hands, congratulations!
52:07 | *NT$33.00* HUAI.
52:37 | *$10.00* Games Are Hard: Bark bark woof
52:39 | (Member (2 months)) Matcha
52:49 | (Member (2 months)) JULIA: I am begging you here plz
