0:07 | (Member (1 month)) アメペラペラ: 愛してるよ:double_exclamation_mark::double_exclamation_mark::_glowstick1::_fanboy::_glowstick2:
0:11 | (Member (2 months)) Pumbaa: :_glowstick1::_cheer::_glowstick2:
0:11 | (Member (2 months)) 鏡の国のユキ: :_glowstick1::_cheer::_glowstick2::_glowstick1::_cheer::_glowstick2::_glowstick1::_cheer::_glowstick2:
0:12 | (Member (2 months)) Hibiki Suou: :_glowstick1::_cheer::_glowstick2:
0:13 | (Member (2 months)) Smile: :_glowstick1::_cheer::_fanboy::_glowstick2:
0:14 | (Member (2 months)) Hisui: :_glowstick1::_cheer::_glowstick2:
0:14 | (Member (2 months)) Pipi Lin: Let's go:_fanboy::_fanboy:
0:14 | (Member (2 months)) jiangjiang: :_cheer::_cheer::_cheer:
0:15 | (Member (6 months)) Camilla: Ikey :_glowstick2: wikey :_glowstick2: kawaii:_glowstick2:
0:15 | (Member (2 months)) The Cat's OutOfTheBag: :_fanboy::_fanboy::_fanboy:LET'S GOOOOOO 行くぞー !!!!!!
0:16 | (Member (2 months)) ドウドウ: KARAOKE LET'S GOOOOOO!アイク頑張れ:_fanboy::_fanboy::_fanboy:
0:17 | (Member (6 months)) さゆ: :_glowstick1::_glowstick1::_cheer::_cheer::_cheer::_glowstick2::_glowstick2:
0:17 | (Member (2 months)) ゆき: :_cheer::_cheer::_cheer:
0:17 | (Member (6 months)) Dandelion Chen: let’s go :_cheer::_cheer:
0:18 | (Member (2 months)) 天螢: :_fanboy::_fanboy::_fanboy:
0:19 | (New member) Chat_Selune
0:20 | (Member (6 months)) piaoミカ: :_cheer::_cheer::_cheer::_cheer::_cheer::_cheer::_cheer:
0:20 | (Member (6 months)) Genesis: :_glowstick1::_ikecry::_glowstick2:
0:20 | (Member (2 months)) chloe: :_glowstick1::_glowstick1::_cheer::_cheer::_cheer::_cheer::_glowstick2::_glowstick2:
0:20 | (Member (1 month)) Jenny: :blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:
0:21 | (Member (6 months)) Lok1 B: :_cheer::_cheer::_cheer:
0:21 | (Member (6 months)) Ariana K.: :_fanboy::_fanboy::_fanboy:
0:21 | (Member (6 months)) 遊星(You Xing)🖋️: :_glowstick1::_glowstick1::_fanboy::_glowstick2::_glowstick2:
0:22 | (Member (2 months)) すずらん: :_glowstick1::_cheer::_glowstick2:
0:22 | (Member (6 months)) rach: :_glowstick1::_fanboy::_fanboy::_fanboy::_glowstick2:
0:22 | (Member (2 months)) 阿菌: :_glowstick1::_cheer::_glowstick2:
0:23 | (Member (2 months)) 艾那个伦 THEllen: :_glowstick1::_glowstick2::_glowstick1::_glowstick2::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy:
0:23 | (Member (2 months)) hanpichu: IKEY :_cheer: WIKEY :_cheer: KAWAII
0:23 | (Member (6 months)) 夏離XiaLi: :_fanboy::_glowstick1:IKEY :_cheer:WIKEY:_cheer:KAWAII:_glowstick2::_fanboy:
0:23 | (Member (2 months)) snowfeathers: :_glowstick1::_cheer::_glowstick2:
0:23 | (New member) sukyy
0:23 | (Member (6 months)) Spidev: IKZ IKEY:_fanboy:
0:23 | (Member (6 months)) Sour Grape: LETS GOOOOO:_glowstick1::_glowstick1::_cheer::_glowstick2::_glowstick2:
0:24 | (Member (6 months)) 黒刀[こくとう]: 700Kおめでとおおおおおおお！！！！！:_fanboy::_fanboy::_fanboy:
0:26 | (Member (2 months)) lylac: :_glowstick1::_fanboy::_glowstick2:
0:26 | (Member (2 months)) れた
0:26 | (Member (2 months)) tatuma: :_cheer::_cheer::_cheer:
0:27 | (Member (2 months)) ~鳃Glaucilia: :_fanboy::_fanboy::_fanboy::_fanboy:
0:27 | (Member (6 months)) 小佾Chi Yue: :_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy:
0:27 | (Member (2 months)) みお / Mio: :_glowstick1::_glowstick1::_glowstick1::_cheer::_glowstick2::_glowstick2::_glowstick2:
0:27 | (Member (2 months)) haruka yuki: ikey:_cheer::_cheer::_cheer:
0:27 | (Member (2 months)) Alice Wong: :_glowstick1::_cheer::_glowstick2::_glowstick1::_cheer::_glowstick2::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy:
0:28 | (Member (2 months)) Rurikon Nyan: IKZ!!!!!
0:28 | (Member (6 months)) Jiyuu: :_glowstick1::_cheer::_glowstick2:
0:28 | (Member (2 months)) miku: :_fanboy::_fanboy::_fanboy:
0:28 | (Member (2 months)) PriichS: :_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy:
0:28 | (Member (6 months)) kai: Let's goooo:_glowstick1::_cheer::_glowstick2:
0:28 | (Member (2 months)) Agnesあぐねす: :_glowstick1::_cheer::_glowstick2:
0:28 | (Member (2 months)) yaho: :_cheer::_cheer::_cheer::_cheer::_cheer:
0:28 | (Member (2 months)) Ting亭: LETS GOOOOO :_fanboy::_fanboy::_fanboy:
0:28 | (Member (2 months)) Lunar Mun: :_glowstick1:LETS FREAKING GOOOOOOO :_glowstick2:AAAAAAAAA :_fanboy::_fanboy::_fanboy::_fanboy::_fanboy:
0:28 | (Member (2 months)) Bañaña Brëåď: :_glowstick1::_fanboy::_glowstick2:I have been waiting for so long!!!
0:30 | (Member (2 months)) Riisan: :_cheer::_cheer::_cheer:
0:31 | (Member (6 months)) Vicky Wong: :_fanboy::_fanboy::_fanboy:
0:31 | (Member (6 months)) Adela: :_fanboy::_fanboy::_fanboy:
0:32 | (Member (6 months)) Rian: :_glowstick1::_cheer::_glowstick2:
0:32 | (Member (2 months)) まさよし: Let’s gooooo :_fanboy::_fanboy::_fanboy::_fanboy::_fanboy:
0:33 | (Member (6 months)) Amanda: :_glowstick1::_cheer::_cheer::_cheer::_cheer::_cheer::_cheer::_cheer::_glowstick2:
0:33 | (Member (6 months)) yuquan huang: Let’s GOOOOOOO:_cheer::_cheer::_cheer:
0:33 | (Member (6 months))  阿碳•ア—たん [A-tann]: :_fanboy::_fanboy::_fanboy:
0:33 | (Member (6 months)) 17代目: :_glowstick2::_glowstick2::_cheer::_cheer::_cheer::_cheer:
0:33 | (Member (2 months)) Mary Indorte: LETS GO IKEY :_glowstick1::_excite::_glowstick2:
0:35 | (Member (6 months)) Sz: :_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy:
0:35 | (Member (2 months)) Hana 姍_はな: let’s goooooooooooo:_fanboy::_fanboy::_fanboy:
0:35 | (Member (2 months)) Kae Hui: :_glowstick1::_cheer::_glowstick2::_glowstick1::_cheer::_glowstick2:
0:36 | (Member (2 months)) Chia Chen Yang: :_glowstick1::_cheer::_glowstick2:
0:36 | (Member (2 months)) Wing. ̫ .: IKZZZZZ:_glowstick1::_cheer::_glowstick2:
0:36 | (Member (1 month)) Oct(･ω･)つ🖋️⊂(･ω･): GANBARE IKEYYYYY:_fanboy:
0:37 | (Member (2 months)) 🍌🍌Emma: :_cheer::_cheer::_cheer:
0:37 | (Member (2 months)) Teateaaaa: Sooooooo excited！！！！
0:37 | (Member (2 months)) jyun: :_cheer::_cheer::_cheer:
0:38 | (Member (6 months)) ferii: LET’S GOOO!!!
0:38 | (Member (6 months)) AyaYuki: Let’s goooooooo:_glowstick1::_cheer::_cheer::_cheer::_glowstick2:！！！
0:38 | (Member (2 months)) ねおじ: :_cheer::_cheer::_cheer::_cheer::_cheer::_cheer:
0:38 | (Member (2 months)) babychii: :_cheer::_cheer::_cheer:
0:39 | (Member (2 months)) 栗モンブラン: :_fanboy::_fanboy::_fanboy:
0:39 | (Member (6 months)) みはっと: :_fanboy::_fanboy::_fanboy:
0:39 | (Member (6 months)) 櫻花的櫻_Nia: :_cheer::_cheer::_cheer:
0:40 | (Member (6 months)) Jane zz: LETS GOOOO IKEYYYYYYYY:_cheer::_cheer::_cheer::_cheer:
0:40 | (Member (2 months)) Aster: LETS GOOOO IKEY:_cheer:WIKEY:_cheer:KAWAII:_cheer:
0:41 | (Member (2 months)) HINA: ikey wikeyyyyyyyyy:_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy:
0:41 | (Member (6 months)) Freya: IKEY:blue_heart:WIKEY:blue_heart:KAWAII:_cheer:
0:42 | (Member (2 months)) Ranao: :_glowstick1::_glowstick1::_glowstick1::_cheer::_glowstick2::_glowstick2::_glowstick2:
0:42 | (Member (2 months)) Melody Ng: :_cheer::_cheer::_cheer::_cheer::_cheer::_cheer:
0:42 | (Member (2 months)) 星野mikoto: :_cheer::_cheer::_cheer::_cheer::_cheer:
