-0:06 | (Member (6 months)) Dice🎲
3:32 | (Member (2 months)) ryo: :_EnnaLight::_EnnaWaku::_EnnaLight::_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
3:35 | (Member (6 months)) mii: :_EnnaLight::water_wave::_EnnaLight::water_wave::_EnnaLight:
3:40 | (New member) 小夜(sayo)
3:45 | (Member (1 month)) Faust: Gifted 5 Enna Alouette【NIJISANJI EN】 memberships
3:46 | (Member (2 months)) Lavena: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
3:47 | (Member (6 months)) まいまい Yummyno: Let’s go tsunanananananananami
3:48 | (Member (2 months)) chiooru: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
3:51 | (Member (6 months)) ticktack
3:52 | (New member) 關關Debby
3:58 | (Member (2 months)) Cherry: sheeshhhhhhhhh:_EnnaAloulove:
4:00 | (Member (1 month)) Rayvon
4:01 | (Member (6 months)) SR404G: :water_wave::water_wave::water_wave:
4:08 | (New member) ベータソン
4:08 | (New member) ウェンディ
4:09 | (Member (2 months)) Yumiʕ •ᴥ•ʔ: Gifted 5 Enna Alouette【NIJISANJI EN】 memberships
4:09 | (Member (2 months)) Nori.: I LOVE U ENNAAAAA:loudly_crying_face::blue_heart::purple_heart::blue_heart::purple_heart:
4:12 | (Member (2 months)) Yareli Main: Gifted 5 Enna Alouette【NIJISANJI EN】 memberships
4:12 | (Member (2 months)) Humanoidss: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
4:15 | (Member (2 months)) Beam: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
4:16 | (Member (1 month)) Wei Chang
4:26 | (New member) Fennyフェニー: Gifted 5 Enna Alouette【NIJISANJI EN】 memberships
4:26 | (Member (2 months)) Altalm: Yeeeaaaahhhh!!
4:27 | (Member (2 months)) Emery: :_EnnaLight::_EnnaAloulove::_EnnaLight:
4:31 | (Member (6 months)) Nice Hat: Gifted 5 Enna Alouette【NIJISANJI EN】 memberships
4:33 | (Member (6 months)) Voitan: Gifted 20 Enna Alouette【NIJISANJI EN】 memberships
4:44 | (New member) ZC Wang
4:48 | (New member) RAKKU
4:53 | (New member) ゆづき: Gifted 50 Enna Alouette【NIJISANJI EN】 memberships
4:56 | (New member) peeemei
4:58 | (Member (6 months)) Bobjoe2143: :_EnnaLight::_EnnaSilly::_EnnaLight:
5:11 | (Member (6 months)) とこなつ【ねねプロ】: Hereeeeeeee
5:17 | (Member (6 months)) 武市: Gifted 10 Enna Alouette【NIJISANJI EN】 memberships
5:21 | (New member) ZeparInfinity
5:28 | (New member) 牛排排
5:30 | (New member) Thiago TGM
5:39 | (Member (6 months)) HPOTCOJ: Gifted 1 Enna Alouette【NIJISANJI EN】 memberships
5:40 | (Member (1 month)) Adamia Meitzen: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
5:50 | (New member) melodicMisery
5:54 | (Member (6 months)) Delta 57 Dash: YOOOOOO
6:00 | (New member) Hazuki
6:03 | (Member (2 months)) West: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove::_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
6:11 | (New member) はげ
6:22 | (Member (6 months)) Omnion Prime: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove::_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
6:24 | (New member) Retro Fire
6:25 | (Member (6 months)) 坂の上のタモ / Tamo: Gifted 5 Enna Alouette【NIJISANJI EN】 memberships
6:29 | (Member (6 months)) Moth King: ENNA YOURE SO GOOD
6:33 | (New member) Salty Owl
6:41 | (New member) Bangcock邦卡【バンカー】
6:43 | (Member (1 month)) poulp: :_EnnaAloulove::_EnnaLight::_EnnaAloulove::_EnnaLight::_EnnaAloulove:
7:10 | (New member) Goesea
7:25 | (Member (1 month)) Jia-Iuan: :_EnnaLight::_EnnaLight::_EnnaAloulove::_EnnaLight::_EnnaLight:
7:49 | (New member) shuanghong ye
9:23 | (New member) 瀬名せな SENA
9:48 | (New member) Jonathan
9:52 | (Member (2 months)) Kuro: GO ENNER:_EnnaBlush::_EnnaBlush::_EnnaBlush::_EnnaBlush::_EnnaBlush::_EnnaBlush:
9:54 | (Member (1 month)) 卯月 Uzuki: Enna~you can do it:purple_heart:
10:11 | (New member) Andr
10:15 | (Member (2 months)) Jaxhammer8: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove::_EnnaWave:
10:16 | (Member (6 months)) Max_Power: SUGOI! :_EnnaWaku:
10:22 | (Member (2 months)) ときりん: suki!!!!!!!!!
11:11 | (Member (6 months)) 96tax: Gifted 1 Enna Alouette【NIJISANJI EN】 memberships
11:13 | (Member (2 months)) manukiru
11:38 | (New member) 🍌🍌Cherry Lee
11:39 | (Member (2 months)) dabomb: Your voice is so moving!
11:43 | (Member (1 month)) unhi: I'M ASCENDING
12:14 | (New member) 丹: Gifted 10 Enna Alouette【NIJISANJI EN】 memberships
12:18 | (Member (1 month)) demidemi: Gifted 5 Enna Alouette【NIJISANJI EN】 memberships
12:28 | (Member (6 months)) regen: YAAS GIRL SLAY :_EnnaAloulove:
12:55 | (Member (1 month)) 4everblue: Gifted 10 Enna Alouette【NIJISANJI EN】 memberships
13:22 | (Member (6 months)) Zer0Pendragon6 Lucie’s Fan: Gifted 1 Enna Alouette【NIJISANJI EN】 memberships
13:30 | (Member (2 months)) Ｎaｉvｅ: :_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa:you did so well so proud of you:_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:love you
13:38 | (New member) mio: Gifted 10 Enna Alouette【NIJISANJI EN】 memberships
13:47 | (Member (2 months)) Jack Galileo: Love you! 
13:58 | (Member (6 months)) Aiden Lau: Just do It!!!
14:49 | (Member (2 months)) Dot: Gifted 10 Enna Alouette【NIJISANJI EN】 memberships
