Timestamp,Name,Comment,Language
1:46:04,| (New member) Fizzy Lipstick, :purple_heart::purple_heart::purple_heart::purple_heart:,en
3:14,| Kai, :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:,en
3:10:17,| Basket of Frogs, THANK YOU MILLIE ME TOO,en
2:34:55,| vee, NO THE FRIED CHICKEN,en
41:51,| Aoi Su, What?lol,en
41:04,| watagashi, :fire::fire::fire::fire::fire::fire:,en
8:19,| umbre_cat, onion cult,en
57:53,| Feline Fortuna, :baguette_bread::baguette_bread::baguette_bread::baguette_bread:,en
1:16:38,| (Member (2 months)) Blu Delta, Phone call Wilson ,en
1:41:15,| Marls, the wall would have straightened it :loudly_crying_face:,en
3:58:55,| Sherbets, free totsu guys,en
1:03:12,| MΔsterofbloopers, :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:,en
6:45,| keef, hada lives in mind rent free,en
48:28,| Mari ｡*,☆: OMG TGE SNATCHED WAIST ,en
1:12:05,| Connah, :flushed_face:,en
47:21,| eri, AAAAAA IT'S AMAZING MILLIE,en
49:17,| ちゃんくみ 丑三つ時 [chankumi], GG:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:,en
1:56:50,| 柚希yuzuki, :orange_heart::purple_heart::orange_heart::purple_heart:,en
21:46,| むぎに, やっちまった:loudly_crying_face::loudly_crying_face:,en
23:14,| ~Cassie chan🌀, :baguette_bread::baguette_bread::baguette_bread:,en
1:03:44,| (New member) eri ♡, UKI FOR THE LOVE OF GOD,en
31:01,| (New member) 炭水キャベツ, :_sonnyLight::_sonnyLight::_sonnyLight:,en
8:54,| (Member (2 months)) iiDelstar, :_Ugh::_Ugh::_Ugh::_Ugh::_Ugh:,en
10:29,| ʚ sookuma!! ɞ, :baguette_bread::baguette_bread::baguette_bread:,en
53:19,| (Member (6 months)) LUCA!, BOB THE SILLLYYY,en
40:50,| Kevin, :smiling_face_with_heart_eyes:,en
2:32:04,| Bee, CAN WE CLIP THIS,en
20:47,| Azrael, its demon cowboy jim,en
44:51,| Masheru Walker, :face-blue-smiling::face-blue-smiling::face-blue-smiling:,en
3:02:49,| (New member) SeaFran Birddy, That was super sweet,en
5:22:15,| thump, 2 pm in the afternoon for me,en
48:14,| FriskaDK, OMG FINANA :flushed_face:,en
41:10,| Caleb Moull," flow was a little rough, but really good",en
46:52,| YuuKio Yuuya, :purple_heart::purple_heart::purple_heart::purple_heart:,en
44:04,| Mia, :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:,en
3:06:23,| Lemon, :pleading_face::purple_heart::purple_heart::purple_heart::purple_heart:,en
2:20:24,| Ebi-chan, it was good :moai:,en
16:23,| やみちゃん, hello~:woman_raising_hand:,en
53:33,| (Member (2 months)) J, thank you :_heart::_pat:,en
1:46:44,| Marle Peace, Oh it's a whistle,en
14:37,| anh thy, :blue_heart::blue_heart::blue_heart::blue_heart:,en
52:34,| komi-joestar, :place_of_worship::place_of_worship::place_of_worship::place_of_worship:,en
1:54:00,| (New member) Tsukumi, will u yeet us?,en
1:53:11,| (Member (2 months)) hinorinnn, hes streaming,en
1:03:29,| Amelia Ayu, :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:,en
3:14:44,| (New member) Kaybear🧸, :clapping_hands::clapping_hands::clapping_hands:,en
4:38:26,| Wei Lin QuQ, yall should go in together hahaha,en
2:44:27,| Miskymx, YAYY FINALLY :raising_hands::raising_hands::raising_hands:,en
2:13:40,| (New member) 謎ノ Grug, chat my chest is starting to hurt i think this might be it,en
3:37:05,| Yami Eve 🥿, Shu Trending yeayyyyyy:purple_heart:,en
29:57,| Umbrosa, STUCK IN THE ABYSS,en
2:57:38,| R----P, :rainbow::rainbow::rainbow:,en
15:24,| (New member) Lin, :_sonnyLight::_sonnyLight::_sonnyLight:,en
21:15,| (Member (2 months)) Jessi, so thankful for your ASMR boss :_lucubHeart:,en
28:27,| Sawah Gin, :blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart:,en
24:25,| ikki_asura, :red_heart::red_heart:,en
2:05:12,| Roca, the run HAHAHAA,en
57:10,| (Member (2 months)) soups, this is so cute i’m crying,en
10:03,| Lemonheart ♡, :clapping_hands::blue_heart::clapping_hands::blue_heart::clapping_hands::blue_heart:,en
1:47:54,| ktapples MTAG, OMG!! it’s crazy how happy that makes me!,en
27:41,| (New member) Starlightdraco, :purple_heart::purple_heart::purple_heart:,en
12:11,| Ansdfi, :blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:,en
1:45:09,| Aneesa, oh nyo aster,en
19:42,| Izmaaa,  HOMIE BUFF:purple_heart::blue_heart::yellow_heart:,en
1:01:44,| (New member) Seiso Gie, Turtle wins tho doppio ,en
48:03,| (New member) Tea-A-Go, ADORABLE:_butaHeart::_butaHeart::_butaHeart:,en
1:14:49,| •Why.you.care?•[🥹🤟], byeee byeee:face-red-heart-shape::face-red-heart-shape:,en
10:45,| xhiisan, TSKRRRRR:blue_heart::blue_heart::blue_heart:,en
19:05,| Yiiiwen, :yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:,en
44:58,| (New member) ricela, :_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight:,en
24:59,| (New member) LingLing Haru 凛はる🛸, DO YOU FLIP AROUND ALOT? ,en
53:28,| Dat Lam, :flushed_face:,en
41:25,| Tofu, :hot_face:,en
1:46:37,| (New member) Vile [바일], They sound so good together!!,en
28:20,| keef, affirmation??! :0,en
