0:05 | (Member (6 months)) くるkuru: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:05 | Aria゜ﾟ: Let's gooooo
0:05 | yuckki: WE ARE HEREEEE
0:05 | Trop: :heart_decoration::purple_heart::heart_decoration::purple_heart::smiling_face_with_hearts::heart_decoration::purple_heart:
0:05 | Renée: LETS GOOOOO
0:05 | xluciferdrag0nId: LETS GOOOOOOOOOO 
0:05 | Moon Dongsaeng: You can do it Enna!!!
0:05 | Esteman: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:05 | (Member (6 months)) Phorni: JIBUN WOOOOOOOOOOOO
0:05 | (New member) Being X: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:05 | odla odla: IKZZZZZZZZZZ
0:05 | Jason Blue: IKZ ENNA !!
0:05 | (Member (6 months)) miniscooter: lets goooooooo
0:06 | Linnéa🌷: :purple_heart::purple_heart::purple_heart:
0:06 | shallshell: Ennaaaaa
0:06 | ME: Let’s gooooo ennaaaaa
0:06 | (New member) poggers: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:06 | (Member (2 months)) reno: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:06 | Ju54ju: ikz, enna
0:06 | Yui。: IKZ!!!
0:06 | lanlan: IKZ！！！
0:06 | nana: IKZZZ
0:06 | sugarmochi: ENNAAAAAAAAAAAAAAAAAAAA
0:06 | Héctor Ochoa: LET'S GO ENNAAAAAAA
0:06 | Astereae: Yeahhhh 
0:06 | (New member) Yuuren: :_EnnaWave:
0:07 | 3pn: ENNEWR :red_heart::red_heart::red_heart::red_heart::red_heart:
0:07 | (New member) IttoHaver: :_EnnaBonk::_EnnaBonk::_EnnaBonk:
0:07 | Monchee: It’s time
0:07 | Mica: IKZZZZZZ
0:07 | reira: ikzzzzzzzzz
0:07 | Imloveliness15: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:07 | sophia s: enna!
0:07 | 1M0: IKZZZ
0:07 | Anime Equals: eñners
0:07 | Phoebe Kun: LEZ GOOOO ENNAAAAA
0:07 | 一枝ONEzi: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:07 | (Member (2 months)) MinMin: :_EnnaLight::_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa::_EnnaLight:
0:07 | My Catto: Let's gooooo Enna time
0:08 | sharon: Let gooooooo
0:08 | (New member) Alex Chan: let's go
0:08 | img: :blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:
0:08 | carms (myaajackatsumu): IKZ!!!!
0:08 | Xenolad 494: :purple_heart::purple_heart::purple_heart:
0:08 | (New member) Emme Jay: IKZ ENNAAA U GOT THISSSS
0:08 | Ying Ching: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:08 | 0KuroShii ゼロ・クロシー: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:08 | かじゅ: IKZZZZZZZ
0:08 | (Member (2 months)) Kiki Aryos: :_EnnaLight::_EnnaLight::_EnnaLight:
0:08 | HanHan🌸 [sharialene]: IKZZZZZ
0:08 | うまおい: IKZ
0:08 | Soda Lover: :baguette_bread::baguette_bread::baguette_bread:
0:08 | (Member (6 months)) Mirko D: IKZ ENNA!
0:08 | gummicro: YAA
0:09 | cele: ENNA MOMENT
0:09 | Augustus' Babysitter: IKZZZZZZ
0:09 | (Member (2 months)) Chouin: :_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaNnn::_EnnaAaa:
0:09 | ℳ𝒾𝓎𝓊𝓀𝒾 . . . ʚ ♡ ɞ: :purple_heart::purple_heart::purple_heart:
0:09 | Sara: Goooo
0:09 | ふにゃたろー: letgooooooo
0:09 | Jarv: IKZZZZ
0:09 | Skittle: Hello 
0:09 | NoyZaz・ノイザス: LETSGOOOOO ENNAAA
0:09 | Amarth: oh hi Enna~
0:09 | yamiyuu : Let’s go Enna!
0:09 | ミナ 🔔: たいき
0:10 | (Member (6 months)) Dezza Belle: IKZZZZZ
0:10 | Sinehra: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:10 | (New member) CC 🌸: :_EnnaAloulove::_EnnaAloulove:
0:10 | noom: EENNNNAAAUUUURRRR
0:10 | 9thennea: IKZZZZZZ
0:10 | cosmic: IKZZZ
0:10 | love rosie 🦋: :purple_heart::blue_heart:
0:10 | Linnéa🌷: IKZ
0:10 | アルコバレーノArcobaleno: lets goooo
0:10 | 沫沫子理: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:10 | (Member (1 month)) Mojey: :_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa::_EnnaBlush::_EnnaBlush::_EnnaBlush:
0:10 | rib: IKZZZ
0:10 | Bomi Dixon 🌞: :purple_heart::purple_heart::purple_heart:
0:11 | (Member (6 months)) PEe Po: lmao millie
0:11 | (New member) Tim W: IKZ ENNA
0:11 | Mari ｡*:☆: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:11 | (Member (2 months)) Posyann: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:11 | Zushi: Lets go oshiii
0:11 | Jennifer: LETS GO ENNAAA
0:11 | Luminal: IKZZZZZZ
0:11 | chu yamiclaws: IKZZZZ ENNA
0:11 | (New member) shunn: :_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa::_EnnaBonk::_EnnaLight::_EnnaBonk::_EnnaLight:
0:11 | (New member) Dfntlymybe: LETS GOOOOOOOOOOOOO
0:11 | (Member (6 months)) Groundless Yuan: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:11 | (Member (1 month)) Tming🦦: :_EnnaLight::_EnnaLight::_EnnaLight:
0:11 | banana yuyu: LET'S GO ENNAAAAA
0:11 | (New member) Schofield: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:11 | Solari Lynncrest: lets go ennaaaa
0:11 | ponytale: LETS GOOOOOOO
0:11 | cele: AAA
0:11 | Valerieee: ennnaaaaaa
0:11 | Azuzu: LETS GOOOO
0:11 | ginmin: :blue_heart::blue_heart::blue_heart:
0:11 | kristel 🐮: IKZZZZ
0:12 | gyoukokun: IKZZZZZZZZZ
0:12 | Luminoshitty: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:12 | AstralSkies: LET'S GO ENNAAAA
0:12 | A- ria: :purple_heart::purple_heart::purple_heart::purple_heart:
0:12 | satin: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:12 | Sivie🔮⚡: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:12 | IrisK 👹🧧: IKZZZ
0:12 | (Member (1 month)) Blanca Mashiro: IKZZZZZZZZ
0:12 | Asy: ENNAAAAAAAA
0:12 | (New member) Alaん Tellez: AWWWWWWWWWWWWWW
0:12 | Mmoi: LEZGOOOOOO
0:12 | (Member (6 months)) Witll _: IKZZZZZZZZZZ
0:12 | ba-ab: IKZZ ENNAAAA
0:13 | (Member (6 months)) Noir Zero /ノイル ゼロ : :_EnnaWave::_EnnaWave::_EnnaWave::_EnnaWave::_EnnaWave::_EnnaWave:
0:13 | raye: ENNA GANBAAAAA
0:13 | Sun Shine: lets go ennaaaaa
0:13 | (New member) Stailium: ENNA!!!
0:13 | (New member) Fran.454: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:13 | Ely: :virtualhug::virtualhug::virtualhug:
0:13 | (Member (6 months)) Max_Power: P:_EnnaOoo::_EnnaGgg:
0:13 | Aiya: lesss gooo
0:13 | chm LL: Enna·
0:13 | shani: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:13 | 人だっけ: letssgoooo ennaa
0:13 | Woo: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:13 | zoe • lifesnuggies: IKZZZZZ
0:13 | cecelia: YYAYAYAY enna!!
0:14 | daf: LETS GOOOOO
0:14 | zıʏu: :purple_heart::purple_heart:
0:14 | (New member) Aggi: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:14 | LaanMao: :purple_heart::purple_heart::purple_heart:
0:14 | (Member (6 months)) Kovaleski5151: LET´S GO ENNA
0:14 | オクラ: エナー！！がんばれえええ
0:14 | (New member) z: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:14 | Yoon: WOOOO
0:14 | (New member) ayuxx: :_EnnaLight::_EnnaLight::_EnnaLight:
0:14 | (Member (6 months)) Clovenski: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:14 | K8: IKZZZZ
0:14 | (New member) kkj_1939: :_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa::_EnnaBonk::_EnnaLight:
0:15 | hottestdaddy: WOOOOOO
0:15 | Sherlocked: ongggggggg
0:15 | XilverMoon: Let's goooooo
0:15 | LukaLuka~: :blue_heart::blue_heart::blue_heart::blue_heart:
0:15 | ゆなNA: Love u enna
0:15 | anji: HELLLOOO
0:15 | han: IKZZZZZ
0:15 | daifukuzo: IKZZZZZ
0:15 | Alen: :shelterin::shelterin:
0:15 | Miyu Vollerei: IKZ!!!
0:15 | biscuits: ENNNNEEEERRRR
0:16 | Yuki uwu: let's go enna:blue_heart::purple_heart::blue_heart::purple_heart::blue_heart::purple_heart:
0:16 | (New member) Arly Dex: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:16 | 𝑅𝑎𝑛𝑑𝑖: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:16 | redacted: LET'S GOOOO ENNA!
0:16 | Araflo logo💋☕: hiii
0:16 | (New member) shunn: :_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa::_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:16 | Applef (🐑🌈): wooooo
0:16 | Tahiti: IKZ
0:16 | (Member (6 months)) arin: :_EnnaGgg::_EnnaOoo::_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa:
0:16 | lanlan: ENNAAAAAA
0:17 | お幸せに: Let's go ennaaaaa:purple_heart::purple_heart::purple_heart:
0:17 | thai: LETS GOOO !!!!
0:17 | Myrrh: ENNAAA
0:17 | Aledict: ennaaaaaaa
0:17 | aly: IKZZZZZZZZZZ
0:17 | 阿沫amou: IKZZZ
0:17 | M1kaza_: LES GO ENNAAAAAAAAAAA WOOO
0:17 | 水泉 祐ノ助🎹Y. Mizusen🎧: Lezgooooooooooo
0:17 | no bIiss: ikz
0:18 | Invidia: wooohooo
0:18 | Haruuu: :purple_heart::purple_heart::purple_heart::purple_heart::blue_heart::blue_heart::blue_heart::blue_heart:
0:18 | (New member) Chimera: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:18 | (New member) ソノン: :_EnnaLight::_EnnaLight::_EnnaLight:
0:18 | MauraxX🎃 [the spooky lesbian 👻]: Our lovely talented ennaaaaa :purple_heart::purple_heart:
0:18 | s.: ENNAAAAAAAAAAAAAAAA
0:18 | Magna: ikzzzzz
0:18 | Kaito: IKZ ENNA
0:18 | Idk: LETS GO ENNA!!!
0:18 | 十興分校Emma: :red_heart::red_heart::red_heart::red_heart:
0:18 | (Member (2 months)) patricia aguilar: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:18 | souz: OMG SO CUTE
0:18 | PEPI WYLIE: lets go ennaaaaaaaaa
0:18 | Dustin Luk: IKZ
0:18 | Magarita: Let's gooooooooo
0:18 | (New member) Mayumi Satsuka: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:18 | Jason Blue: CYUTE !!
0:18 | (New member) Michi: :_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa::_EnnaBbb::_EnnaOoo::_EnnaGgg::_EnnaBonk:
0:18 | Ohareza: w intro
0:18 | Mitch　( ꈍᴗꈍ): IKZZZZ
0:18 | (Member (6 months)) Yu Ui Corle【ユ ウイ コリ】: LETS GOOO
0:18 | Skittle: Let’s go enna 
0:18 | (New member) Wren: :_EnnaTete::_EnnaTete::_EnnaBlush::_EnnaBlush::_EnnaBlush:
0:19 | Isaac Lising: Manual Raid
0:19 | Where u at?: IKZZZZZ ENNAAAA
0:19 | おいら: LETS GOOOOO
0:19 | brimstonebird: aww that art's so cute
0:19 | wasami: lets gooooo
0:19 | Bomi Dixon 🌞: ikzzzzzz :purple_heart::purple_heart::purple_heart:
0:19 | mish🌸 {purple boy enthusiast💜}: :purple_heart::purple_heart::purple_heart:
0:19 | oujisama05: ganbear
0:19 | ショアピ: Im here after millie :purple_heart::orange_heart::purple_heart:
0:19 | (New member) Ying: :_EnnaOtsu::_EnnaOtsu::_EnnaOtsu:
0:19 | Lacroir: LESGOOO ENNAAAA
0:19 | Yu yishan: :purple_heart::blue_heart::purple_heart::blue_heart::purple_heart:
0:19 | (Verified, Moderator, Member (6 months)) Millie Parfait【NIJISANJI EN】: LETS GOO
0:19 | (Member (2 months)) reno: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:19 | Kikku: IKZ
0:19 | Lloyd_MB: Lets gooooooooooo!!
0:19 | (Member (6 months)) thunderslap21: :_EnnaLight::_EnnaWaku::_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa::_EnnaWaku::_EnnaLight:
0:19 | EvilLu: letsgoooo
0:20 | (New member) Cammy0428: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:20 | [gie] 🧸: IKZZZZ
0:20 | (Member (2 months)) Cherry: :_EnnaBonk::_EnnaBonk::_EnnaBonk:
0:20 | Soda Lover: :blue_heart::purple_heart:
0:20 | (New member) Shackeys: :_EnnaEee::_EnnaNnn::_EnnaNnn::_EnnaAaa::_EnnaAaa::_EnnaAaa::_EnnaAaa::_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:20 | Asy: AWWWWWWWWWW CUTE
0:20 | Kat Ji: IKZZZ :purple_heart::purple_heart::purple_heart::purple_heart:
0:20 | Qji: IKZZZZZZZ
0:20 | 王中筌: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
0:20 | カペル: きちゃ〜
0:20 | Kevin Crisostomo: OK ok
0:20 | (Member (1 month)) ☆kiera: :_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:20 | Evan⚡️: :purple_heart::purple_heart::purple_heart:
0:20 | RohanLuvsBaguetteMan: Hi ennaaaaa
0:20 | MIRAI: ey imhereeeeeaftee millie
0:20 | (Member (1 month)) Nokialol: SO CUTE:_EnnaAloulove::_EnnaAloulove::_EnnaAloulove:
0:20 | リゼル: エナーIKZ
0:20 | Himemiya Chikane: Enna!!
0:20 | (Member (6 months)) Wei Shang: :_EnnaLight::_EnnaLight::_EnnaLight:
