0:20 | Bananna: :purple_heart::blue_heart::yellow_heart:
0:20 | Haru: :purple_heart::blue_heart::yellow_heart:
0:21 | Betty Potato: :yellow_heart::blue_heart::purple_heart:
0:21 | Mellow: IKZZ
0:21 | lil baby mina: :blue_heart::purple_heart::yellow_heart:
0:21 | Eat Yellow for Happiness: Bye prechat 
0:21 | Blye: CAW CAWWW :purple_heart::blue_heart::yellow_heart:
0:21 | Emi ♡: CAW CAWW :purple_heart::blue_heart::yellow_heart:
0:22 | 《 Leentoshi 》リーントシ: CAW CAW :purple_heart::blue_heart::yellow_heart:
0:22 | Courtney 🖤: CAW CAW
0:22 | jai: IKZZZ
0:23 | Somie: CAW CAW :purple_heart::blue_heart::yellow_heart:
0:23 | Shadowcat 🔅: :fire: :purple_heart:
0:23 | whoisyouisi?: ayo
0:23 | Puma: HII
0:24 | Melomoriz: :blue_heart::purple_heart::yellow_heart:
0:24 | 🦋 l e x i 🦋: :purple_heart::blue_heart::yellow_heart:
0:24 | Seiet: :purple_heart::blue_heart::yellow_heart:
0:24 | yours.truly🧧🌙: LETS GOOOOO
0:24 | marshmallow kitty: LET'S GOOOOOOOOO
0:25 | Roku 禄: :purple_heart::blue_heart::yellow_heart:
0:25 | llovemiraculous: CAW CAW
0:25 | duskat: CAW CAW
0:25 | RayRay🎡: less goo
0:25 | Dizzy: CAW CAWWWW
0:26 | Isabel Knapp: IKZ :purple_heart::purple_heart::purple_heart:
0:26 | zizi!: RAHHHHHHHH
0:26 | J. L.: :purple_heart::blue_heart::yellow_heart:
0:26 | mystic 💛: banger intro always
0:26 | eeqiiv: :purple_heart::blue_heart::yellow_heart:
0:26 | Eco: IKZ
0:27 | 《 Leentoshi 》リーントシ: CAW CAW :purple_heart::blue_heart::yellow_heart:
0:27 | Nep♡: CAW CAW:purple_heart::blue_heart::yellow_heart:
0:27 | Blye: EPIC INTRO MUSICCC
0:27 | thewildmonarch: is "cawcaw" the vantacrew version of "what a guy"
0:27 | Anonymous Hippo: CAW CAW :purple_heart::yellow_heart::blue_heart:
0:28 | yours.truly🧧🌙: :purple_heart::blue_heart::yellow_heart:
0:28 | Archindel: caw caw
0:28 | Eat Yellow for Happiness: CAW CAWW
0:28 | Cherry!: CAW CAWWWW
0:29 | [ Nuro ] Neeneuro: :beating_heart:
0:29 | Sunny: CAW CAW :purple_heart::blue_heart::yellow_heart:
0:29 | jvyvnr_: CAW CAW:purple_heart::yellow_heart::blue_heart:
0:29 | Izmaaa: CAW CAW:purple_heart::blue_heart::yellow_heart:
0:29 | ArchieAngel 💢🃏GALEGALLEONSTIDDIES: IKZ :purple_heart::blue_heart::yellow_heart:
0:29 | Lurking Puppy: venta venta
0:30 | Dizzy: :purple_heart::blue_heart::yellow_heart:
0:30 | SER: CAW CAW
0:30 | Zircon: CAW CAWW
0:30 | Psycho Pearl: here we go
