0:47 | (Member (2 months)) ピーポ: ズッピン:_Buffering:poko:_Headpad:Amu:_Worship: Klay:_Love:katsu:_Headpad:
0:48 | (Member (6 months)) 龙 L: :_Worship::_Worship::_Worship:
0:53 | (Member (2 months)) ピーポ: IKZZ
0:55 | 桜花: きちゃ！
1:00 | (Member (2 months)) まさはな[Masahana]: ikzz
1:00 | Koopa bros: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
1:01 | (Member (6 months)) Zuppin’: Daddy chill bgm:_Worship:
1:02 | たこす: Ikzzz
1:02 | (Member (6 months)) 龙 L: Maldade:_Headpad:
1:03 | (Member (2 months)) ばいにくBainiku: メロちゃん、こんばんは
1:04 | (Member (6 months)) Amu: :_Love::_Love::_Love:
1:06 | (Member (2 months)) ピーポ: 今日このために生きてた:_Hot:
1:06 | (Member (6 months)) Evan: :_Worship::_Worship::_Worship:
1:07 | (Member (6 months)) しー: :_Love::_Love::_Love:
1:09 | (Member (6 months)) スキマラム: :_Surprised::_Surprised::_Surprised:
1:10 | (Member (6 months)) Amu: noice intro~~
1:11 | (Member (2 months)) Maldade01: :_Love::_Love::_Love:
1:11 | Yamiko: IKZ
1:11 | (Member (6 months)) M0m0: :_Love::_Love::_Love:
1:12 | (Member (6 months)) 斐羽 FEI YU: 龙 L:_Love:
1:13 | (Member (2 months)) adearest: :_Love::_Worship:
1:16 | James (The Shadow Of The Mafia Boss): another blessed ASMR:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
1:16 | (Member (2 months)) こた: :_Love::_Love::_Love:
1:16 | (Member (2 months)) KatsuSando: :_Worship::_Worship::_Worship:
1:19 | (Member (6 months)) Zuppin’: スキマラム:_Love:
1:19 | Zoe : let's goo
1:24 | ふゆ: ikz
1:24 | (Member (6 months)) AKM: 落ち着きBGM
1:27 | (Member (6 months)) 龙 L: Fei yu:_Love:
1:27 | (Member (2 months)) ピーポ: :_Love::_Love::_Love:
1:27 | (Member (6 months)) 【だにき】さいこけいしとう: このために今日をがんばった
1:33 | (Member (6 months)) 龙 L: wkwk:_Love::_Love::_Love:
1:34 | (Member (6 months)) 霖_Rinko: :_Worship::_Worship::_Worship:
1:38 | (Member (2 months)) adearest: the art work tho:_Worship:
1:38 | Ruba: Let's goo!
1:44 | さくらsakura: IKZ
1:44 | (Member (6 months)) おおお: :_Love::_Love::_Love:
1:46 | Reynaldi Ferliez Sullivan: Hawo Meloco, こんばんは。
1:47 | (Member (6 months)) Evan: KonMelo~:_Love:
1:49 | (Member (6 months)) Zuppin’: 癒し( ˊ͈ ˙̫ ˋ͈ )
1:50 | (Member (6 months)) 龙 L: :_Surprised:
1:53 | (Member (6 months)) Amu: :_Surprised::_Surprised::_Hot:hi
1:53 | Koopa bros: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
1:54 | (Member (1 month)) Choco: :_Love::_Love:
1:54 | (Member (6 months)) WDSoul: Hi melo :_Love:
1:54 | (Member (2 months)) KatsuSando: Hello Melo! 
1:55 | (Member (6 months)) Zuppin’: Meloco:_Love::_Love::_Love:
1:56 | Lewd Is Justice: Hi
1:56 | HOT RANDOM ELIRA'S FOREVER CAKE NOISES: Good evening Meloco
1:57 | L Z: Hi melo
1:57 | (Member (2 months)) Maldade01: :_Love::_Love::_Love:
2:00 | (Member (6 months)) Evan: OH:_Surprised::_Surprised::_Surprised:
2:00 | yanxi: hiii
2:01 | (New member) Paul Napkinds: hello melo
2:01 | (Member (2 months)) testchief: :_Love::_Love::_Love:
2:01 | (Member (6 months)) kevinkun: :_Worship::_Worship::_Worship:
2:01 | James (The Shadow Of The Mafia Boss): KonMelo~~~~:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
