0:19 | (Member (1 month)) Lydia: :_renSQUISH::_renSQUISH::_renSQUISH:
0:19 | (New member) shrub: ahhh thankie smmm 
0:19 | (New member) cienetics: RENREN
0:20 | (Member (1 month)) bakayase: :_renMOUTH::_renMOUTH::_renMOUTH::_renMOUTH:
0:20 | (Member (1 month)) Goonggiing: :_renNOSEBLEED:
0:21 | (Member (1 month)) Vanneko🐱: HI CLANG !:_renHUG:
0:21 | (Member (1 month)) PicCattos: :_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
0:21 | (New member) アラン・アゼアス (Arran Azeas) : :_renMOUTH::_renMOUTH::_renMOUTH::_renMOUTH::_renMOUTH::_renMOUTH:
0:22 | Nacchi-yan: gogogog
0:23 | (Member (1 month)) Rae Rose: :_renHUG::_renHUG::_renHUG::_renHUG:
0:23 | Harissa: YEAHHHH
0:24 | (New member) cienetics: :_renCRY::_renCRY::_renCRY::_renCRY::_renCRY:
0:24 | (New member) 🍌🍌咸鱼maiya-.-: :_renHUG::_renHUG::_renHUG:
0:24 | (New member) UNAGI [mysta's toe nail]: :_renEVIL::_renEVIL::_renEVIL::_renEVIL::_renEVIL::_renEVIL:CANT WAAAAAAAAAITTTTTTTTTTT
0:24 | Adelia: LEEHGOOOOOO
0:25 | (New member) uriion: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
0:25 | (New member) Nai !!: Ganbaren!!!!
0:26 | (New member) AERII: :_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
0:26 | (Member (1 month)) Cinthia 🌙: OMG OMG
0:27 | (New member) ウーロン茶Oolong tea: :_renCHEER::_renCHEER::_renCHEER:
0:27 | (Member (1 month)) Reika: :_renHUG::_renHUG::_renHUG:
0:27 | Grim7752: pog
0:27 | (New member) Miya: wohooooo
0:27 | (New member) Ava🧋: poog
0:27 | (New member) GJ: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
0:28 | (New member) uriion: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
0:28 | (Member (1 month)) Mystearin: :_renHUG::_renHUG::_renHUG:
0:29 | Skelli Skelli: OH GOD
0:29 | (New member) KURAI冥: :_renHUG::_renHUG::_renHUG::_renHUG::_renHUG:
0:30 | (New member) uriion: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
0:30 | (Member (1 month)) N A 🛸: Lets fkg GOOOO:_renMOUTH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
0:30 | (Member (1 month)) jehya: LETSGOOOO:_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
0:30 | (Member (1 month)) Caramel LaTTae: :_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
0:31 | (Member (1 month)) Mewchub: welcome welcomeee:_renHUG::_renHUG::_renHUG:
0:31 | (New member) ヒム: :_renMOUTH::_renMOUTH::_renMOUTH:
0:31 | (Member (1 month)) もえそちゃん(moeso-chan): waaaaa:_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
0:31 | 檸檬不萌ॱଳॱ: RENREN
0:31 | (Member (1 month)) 啊噗APU: pooog
0:32 | Plupio: it's starting
0:32 | Adelia: :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:
0:32 | (New member) Zukai: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
0:32 | (Member (1 month)) YAMA YOY: :_renMOUTH::_renMOUTH::_renMOUTH:
0:32 | (New member) S0Li: :_renHUG::_renHUG::_renHUG::_renHUG:
0:33 | (New member) minmin: :_renHUG::_renHUG::_renHUG:
0:33 | Nacchi-yan: lezgoooo
0:33 | (Member (1 month)) jullissa: :_renSQUISH::_renSQUISH::_renSQUISH:
0:33 | Sabrina Lu: RENRENRENREN
0:34 | (Member (1 month)) SleepDeprivedNori: I WILL PERSONALLY BONK YOU ALL IF YOU ALL BREAK ONE
0:34 | (Member (1 month)) Elleee: :_renMOUTH::_renMOUTH::_renMOUTH:
0:35 | (New member) used by mittie: :_renCHEER::_renCHEER::_renCHEER::_renCHEER:
0:36 | (Member (1 month)) Vanneko🐱: AAAAAHHHHHH 
0:36 | (Member (1 month)) 🔗채tsaiyiyiyi일🥽: :_renCHEER::_renHUG::_renCHEER::_renHUG:
0:36 | (Member (1 month)) jriza: :_renHUG::_renHUG::_renHUG::_renHUG:
0:36 | scarachuu: wohooo
0:37 | (Member (1 month)) KAT🌹キャサリン: :_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
0:37 | (Member (1 month)) Cinthia 🌙: :_renHUG::_renHUG::_renHUG:
0:37 | (Member (1 month)) Wani: IKZZZ
0:37 | (Member (1 month)) 🦁 Lusoul: LET'S GOOO
0:37 | (Member (1 month)) 啊噗APU: gogogo
0:38 | (New member) Ai: its starting:_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
0:38 | Wella Bianca: Poog
0:38 | (Member (1 month)) Atara_Xia: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
0:38 | (Member (1 month)) Enma: :_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
0:41 | (Member (1 month)) Smiスミ: ʟᴇᴛ's ɢᴏ!!
0:41 | Skelli Skelli: HIHIHIHIHIHI
0:41 | (Member (1 month)) Clang: OMAYGAAAAASH:_renMOUTH::_renMOUTH::_renMOUTH:
0:42 | (Member (1 month)) 白昼夢Daydream: :_renHUG::_renHUG::_renHUG::_renHUG:
0:43 | Lin Ziyun: Hiii Ren:green_heart:
0:43 | (Member (1 month)) moeemo: :_renHUG::_renHUG::_renHUG::_renTSKR::_renNOSEBLEED:
0:43 | (Member (1 month)) ぼん💛: :_renSQUISH::_renSQUISH::_renSQUISH:
0:43 | (Member (1 month)) Kodileo: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
0:43 | 檸檬不萌ॱଳॱ: LETS GOOOOOO
0:44 | (New member) ⚡Zap Ahmya⚡: Lets goo
0:44 | (New member) 초비: P:_renMOUTH::_renMOUTH::_renMOUTH:G
0:46 | (Member (1 month)) soft ae: :_renHUG::_renHUG:
0:46 | (New member) mango 🥭: :_renHUG::_renHUG::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
0:46 | wwingg: rennnnnn
0:46 | (New member) Akira: Wooooo:_renCHEER:
0:46 | いちごちゃん: きちゃ
0:46 | (Member (1 month)) Vanneko🐱: Waku Waku aggressively 
0:46 | (New member) •⩊•safira。: :_renHUG::_renHUG::_renHUG:
0:46 | mu--沐: :green_heart::green_heart::green_heart::green_heart:
0:47 | (Member (1 month)) Mina Carter: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
0:47 | Fyfthe: LETSS GOOOO
0:47 | 路頭: pooog
0:48 | (Member (1 month)) noomnim: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
0:48 | (Member (1 month)) もえそちゃん(moeso-chan): :_renHUG::_renHUG::_renHUG:
0:49 | (New member) minmin: :_renSQUISH::_renSQUISH::_renSQUISH:
0:49 | (Member (1 month)) Akari: Rennnnn
0:49 | Svetlanka☆: hewwoooo renren
0:49 | (New member) 김파로: :_renNOSEBLEED::_renNOSEBLEED::_renNOSEBLEED::_renNOSEBLEED:
0:50 | Wella Bianca: RENRENNNN
0:50 | (Member (1 month)) Mi-zan 謐寁: Hi
0:50 | vaeh: breath ya’ll
0:50 | dogsbe223: letsgooo!!!!
0:51 | (New member) uriion: :_renCHEER::_renCHEER::_renCHEER:
0:51 | (Member (1 month)) urtha1: HERE COMES THE BOYY
0:51 | (New member) Meiven: :_renHUG::_renHUG::_renHUG::_renHUG::_renHUG::_renHUG:
0:51 | 东南西北冠酱: poggggg！
0:51 | (Member (1 month)) NANAYU: :_renHUG::_renHUG::_renHUG:
0:52 | (Member (1 month)) jehya: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
0:52 | (Member (1 month)) Cinthia 🌙: HELLO RENREN:_renCHEER::_renCHEER::_renCHEER::_renCHEER:
0:53 | (Member (1 month)) Yu Li: :_renCHEER::_renCHEER::_renCHEER::_renCHEER:
0:53 | (New member) mango 🥭: :_renCHEER::_renCHEER::_renCHEER::_renCHEER:
0:53 | (New member) uriion: :_renCHEER::_renCHEER::_renCHEER::_renCHEER:
0:54 | (Member (1 month)) 啊噗APU: Rennnnnnn———
0:54 | (New member) Jeess: :_renCHEER::_renCHEER::_renCHEER:
0:54 | VSF da: POG
0:54 | Akira Kurusu: OwO
0:55 | UriE_024: Earphones at the readyyy!
0:55 | (New member) minmin: :_renSQUISH::_renSQUISH::_renSQUISH:
0:57 | (New member) Lorelei: :_renHUG::_renHUG:
0:57 | (New member) cienetics: :_renHUG::_renHUG::_renHUG::_renHUG:
0:57 | (Member (1 month)) Yu Li: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
0:57 | (New member) CocoBear: :_renMOUTH::_renMOUTH::_renCHEER:
0:57 | (New member) Jay: :_renCHEER::_renCHEER::_renCHEER:
0:58 | (New member) アラン・アゼアス (Arran Azeas) : :_renCHEER::_renCHEER::_renCHEER::_renCHEER:
0:58 | (New member) ~kindred~: it's happening
1:00 | (Member (1 month)) noomnim: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
1:00 | MattsunSanAddict: :green_heart::green_heart::green_heart:
1:00 | (New member) Jeess: ikzz:_renCHEER::_renCHEER::_renCHEER:
1:01 | III: So quiet :muted_speaker: 
1:02 | (New member) Charyl: ayooo
1:03 | (New member) JijiTheCat6🖋️🎭: :_renCHEER::_renCHEER::_renCHEER:
1:04 | (Member (1 month)) Ultrameow Z: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
1:04 | (New member) Miya: :_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:05 | (New member) S0Li: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
1:05 | (New member) 🔹️Valen🔹️: :_renCHEER::_renCHEER::_renCHEER:
1:06 | (Member (1 month)) CyRaLt: ren kokoa desu
1:06 | (Member (1 month)) TTUNI: :_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:06 | (New member) Apricity: Hi everyone!!
1:06 | Winnie:-D: Rennnnnnnnnn
1:06 | Yalua.ヤルア: yeah
1:06 | (Member (1 month)) Vanneko🐱: RENVADERZ LETS HOLD HANDS I AM NOT REASY :_renSQUISH::_renSQUISH::_renSQUISH:
1:07 | (Member (1 month)) moeemo: :_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:07 | (New member) Mason: :_renCHEER::_renCHEER::_renCHEER:
1:07 | (Member (1 month)) Atara_Xia: :_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:07 | (New member) ~kindred~: :_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:08 | (Member (1 month)) jehya: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
1:08 | (Member (1 month)) Smiスミ: :_renCHEER::_renCHEER:
1:08 | (New member) wing: :_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:09 | Diana: :virtualhug::virtualhug:
1:09 | (Member (1 month)) Enma: #RenGoaterz REAL
1:10 | (Member (1 month)) もえそちゃん(moeso-chan): :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
1:10 | (New member) Apricity: :_renCHEER::_renCHEER::_renCHEER:
1:10 | (Member (1 month)) Saku the shibainu 🐶: :_renSQUISH::_renSQUISH:
1:11 | (New member) カエデ୨୧kaede: So excited :_renCHEER::_renCHEER::_renSQUISH::_renCHEER::_renCHEER:
1:11 | (New member) Deanna:p: :_renMOUTH::_renMOUTH::_renMOUTH:
1:11 | (Member (1 month)) CyRaLt: Ikuzo
1:11 | (New member) Jinked: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
1:12 | (Member (1 month)) Reika: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
1:13 | (New member) Ava🧋: Renren:_renHUG::_renHUG::_renHUG:
1:13 | (New member) minmin: Hi Rennnn :_renSQUISH::_renSQUISH::_renSQUISH:
1:15 | (New member) Sage Eclipse: :_renCHEER::_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:15 | Ruby yshu: ><
1:15 | (Member (1 month)) noomnim: :_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH::_renSQUISH:
1:15 | (New member) Orion: :_renMOUTH::_renMOUTH::_renMOUTH:
1:16 | (Member (1 month)) 默泠 Mollie: :_renSQUISH::_renSQUISH::_renSQUISH:
1:16 | (Member (1 month)) cheezecake: :_renSQUISH::_renSQUISH::_renSQUISH:
1:17 | (Member (1 month)) PeiXin: :_renCHEER::_renCHEER::_renCHEER:
1:17 | (Member (1 month)) YuiHaruka🐑: :_renCHEER::_renCHEER::_renCHEER:
1:17 | (New member) Sage Eclipse: :_renCHEER::_renCHEER::_renCHEER::_renCHEER:
1:17 | Skelli Skelli: HOLDING HANDSSSSS
1:17 | Raniag: omay gadd
1:17 | (New member) JijiTheCat6🖋️🎭: :_renCHEER::_renCHEER::_renCHEER:
1:17 | (Member (1 month)) Rayrina _l2ay: :_renHUG::_renHUG::_renHUG:
1:18 | (Member (1 month)) Hiko: :_renCHEER::_renCHEER::_renCHEER:
1:18 | (Member (1 month)) charmie: Finally i can watch renren live stream after 3 days of work:_renCRY:
1:18 | (New member) Danger: hewwoooo~
