0:15 | umbre_cat: eyyyy
0:15 | winnie: I CANT WAIT :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:15 | ggracell: YESS
0:16 | AvieAva: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:17 | roxy: HERE WE GOOO!! 
0:17 | yan ling er: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:18 | ꧁Łil_Mika YT꧂: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:18 | Veri: ayo lets gooo 
0:18 | Regretbur: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:18 | Shuna ;): :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::face_blowing_a_kiss:
0:18 | Zozo: hellooooo
0:19 | LOCK ミ★: HELLO
0:19 | dalv simp: ITS HAPPENING SHHAHWHEHE
0:19 | Akito Shinonome: :purple_heart::dizzy:
0:19 | A random person-: ASTERRR
0:19 | valya ch.: EYYYYYYYYYYY
0:19 | mai-chi: CHAT BEHAVE
0:20 | Liya: Let's gooo
0:20 | OiFelix: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:21 | ꧁𝙰𝚛𝚕𝚢𝚗𝚗꧂: LETS GOOOOOOOO
0:21 | hmmmmmmmmmmmm: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:21 | PheSweets: YAY
0:22 | SundaeRose: :purple_heart::dizzy::purple_heart:
0:22 | Jena Wena (Was a Kyomie)!!<3: :onion::onion::onion::onion::onion::onion:
0:22 | celesty: OHHHHH LETS GOOO
0:22 | SweetPotatoHead: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:23 | Ciel_Cherrymilk: slayyyyyyyyyyyyy
0:23 | kelp: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:23 | Misty Dream: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:23 | tuberose rider : HELLO :purple_heart::dizzy:
0:23 | B02, Alejandria, Angelo Ceasar P.: OH ITS STARTING HERE?
0:23 | Shuna ;): :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:23 | MochimsMochi: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::dizzy::dizzy::dizzy::dizzy::dizzy::dizzy::dizzy::dizzy::dizzy::dizzy::dizzy::dizzy::dizzy:
0:24 | Pumpkin pie: HIIIIII
0:24 | {•Ashley•}: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:24 | Zelera Winters: LEZZGOOOOO
0:24 | K.T: hi guys
0:24 | BisKwit: LETS GOOOo
0:24 | Grim reaper: Hellloooo
0:24 | L.A: hello
0:24 | Liz: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:24 | Th30fficialL0s3r: Lets goo!
0:24 | oliviaworld: OMGGGG!!!
0:25 | – mari マリ: Y8KOOOOOOO
0:25 | Leonray✨✨: Let’s go!
0:26 | kiri who: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:26 | miruwu: WOOOOOOOO
0:26 | Eugeoswife: LETS GIO
0:26 | Meatonthebone: IKZZZ
0:26 | Moonshine: YAAAAAAQQAAA
0:26 | Mio: YAAAAYY!! :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:27 | oh?: LETS GOOOOO
0:27 | OiFelix: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:27 |  ~ ɪ ɴ ᴋ ɢ ᴀ ᴄ ʜ ᴀ ~: WOOOOOOOO
0:27 | Lionssmelody: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:27 | LunaPuna: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:27 | Shadowflame Lightburst: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:27 | Silent_Cy: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:27 | yasmin bright: yasssssssssss
0:27 | Choconat: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:27 | 紫金相依: Awwwwww
0:28 | Athena Gavino: yayyyy
0:28 | shin: HELLLOO
0:28 | Jester🎈🎈: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:28 | maeum: LETS GOOOOOOOOOOOO
0:28 | Septia fajar Ramadhani: YEYYAYSYAYWYA
0:28 | floorkun 💜: POG POG
0:28 | undeluzion: EYYYYYYYYYYY
0:28 | Lilk: Gm :purple_heart::dizzy::purple_heart::dizzy:
0:28 | Xiashi: ASTER BBY HEWOOOO:virtualhug:
0:29 | Xella: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:29 | Xin.tong_: :purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:29 | Roon: lets gooooooo
0:29 | LRC: ay
0:29 | Créme: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:29 | 橘Tachibana: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:30 | NotEdible: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:30 | milolol: ATERRRRR
0:30 | Cran: WOOOOOOOO
0:30 | 💜 Comsy 💜: :onion::dizzy::onion::dizzy::onion::dizzy:
0:30 | aiaiiat_t: Let’s gooo
0:30 | Bee H: :purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:30 | Cupid: HII
0:30 | Anicia: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:30 | Cofieh: :dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart:
0:30 | Mikasa Ackerman🖤 I love Hex🖤: HI ASTER
0:30 | Jkbf: slayy
0:30 | asster: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:30 | ♡︎𝖍𝖔𝖜𝖑 💫: HI YALL
0:30 | PheSweets: YESS
0:31 | Hxneypie▼・ᴥ・▼: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
0:31 | Priscilla khim: Yeah they are trusting
0:31 | Orange Chan: :purple_heart::dizzy::purple_heart::dizzy::purple_heart::dizzy:
