0:18 | (Member (2 months)) ᴇᴍᴍᴀ-ᴄʜᴀɴ: :_YuQHeart::_YuQHeart::_YuQHeart:
0:19 | (Member (2 months)) mewo /ᐠ - ˕ -マ: IKZZZZ IT'S STARTINGGG
0:20 | ZeNothing: ayo 1 minute
0:20 | Shiry: :yellow_heart::yellow_heart::yellow_heart::yellow_heart:
0:21 | (Member (2 months)) DuskFadedToDawn: :_YuQArson::_YuQArson::_YuQArson:
0:21 | HektorsMan: whlonder what kind of dru k wilson is
0:21 | (Member (2 months)) Violette: IKZZZ
0:21 | (Member (1 month)) Starlightdraco: :_YuQStick::_YuQStick::_YuQStick:
0:21 | Jo Jo: lets goooo
0:21 | KM.: Let's go!!!
0:21 | (Member (2 months)) Christy^^: SPANISH GANG SURVIVE TONIGHT
0:21 | (Member (2 months)) Windy is stupid: I GOT AN AD HELP
0:22 | (Member (1 month)) ⭐️haru⭐️: :_YuQArson::_YuQArson::_YuQArson:
0:22 | (Member (2 months)) saki: :_YuQHeart::_YuQHeart::_YuQHeart:
0:22 | (Member (1 month)) Goose: :_YuQArson::_YuQArson::_YuQArson:
0:23 | (Member (1 month)) Jihan Nabila Fitrasani: :_YuQArson::_YuQArson::_YuQArson::_YuQArson:
0:23 | (Member (2 months)) victoria ♌︎:  :_YuQStick::_YuQStick:
0:23 | techynical: OHAYU :yellow_heart:
0:23 | (Member (2 months)) toastbread: :_YuQStick::_YuQStick:
0:23 | (Member (1 month)) Homma: :_YuQStick::_YuQStick::_YuQStick:
0:23 | jen: ikzzzz
0:24 | (Member (1 month)) Caneera: ohayuuu:_YuQHeart::_YuQHeart:
0:24 | (Member (1 month)) Rambles: :_YuQArson::_YuQArson::_YuQArson:
0:24 | (New member) cozycloudberry: :_YuQArson::_YuQArson::_YuQArson:
0:25 | (Member (2 months)) keatjin: :_YuQHeart::_YuQHeart:
0:25 | Lia🌻: :yellow_heart::yellow_heart::yellow_heart:
0:25 | (Member (2 months)) Daisy Mae: I never get tired of this BGM 
0:25 | Loomy: let's gooo!
0:25 | Flinxx: Eyyy
0:25 | (Member (2 months)) mon__san: ohayuuu:_YuQHeart:
0:25 | Garnet🃏🔪: let's goooooo!
0:25 | EraeLiu: Hello!!
0:25 | (Member (2 months)) Zach 🎧: YAYYY
0:26 | (Member (2 months)) PeachBun🍑(Melo): :_YuQArson::_YuQArson:
0:26 | urtha1: IKZZZ
0:26 | (New member) SereniTea: We Begin
0:26 | Shiry: YAYY
0:26 | eri: ikzzzz
0:26 | (Member (2 months)) yesul: :_YuQHeart::_YuQHeart::_YuQHeart:
0:26 | Winniewynter: let's gooo
0:26 | (Member (2 months)) haezy 🫧: :_YuQArson::_YuQArson:
0:27 | (Member (2 months)) Christy^^: IKUZOOOO
0:27 | maria: FINALLYYYY IKZZZZ
0:27 | yzabel ♡: hiii
