0:03 | (New member) Way: happy birthday to Taichou (^o^)7:birthday_cake::_sonnyNegi:
0:03 | patGG: HAPPY BIRTHDAY TAICHOU WOOOOOOOO
0:03 | (New member) Tanpopo: :_sonnyLight::_sonnyLight::_sonnyLight:
0:03 | 𝘇𝗶𝘆𝗮𝗻𝗽𝗼𝗴: :virtualhug::virtualhug::virtualhug:
0:03 | haru: :microphone:(^o^)7:birthday_cake:
0:03 | PACHINKO.: :microphone:(^o^)7:birthday_cake:
0:03 | (New member) ヒカル: HAPPY BIRTHDAY TAICHOU :yellow_heart::sparkles::_sonnyNegi:
0:04 | Astherrrrrrr: HAPPY BIRTHDAY TAICHOUU:yellow_heart::yellow_heart:
0:04 | Haruna: :microphone:(^o^)7:birthday_cake:
0:04 | (New member) MORI 모리: :_sonnyLight::_sonnyNegi::_sonnyLight:
0:04 | (New member) Marera: pls pls pls don't emoji spam over the limit
0:04 | (New member) nino: :_sonnyNipaa::_sonnyLight::_sonnyNegi:
0:04 | (New member) bijou: :_sonnyLight::_sonnyLight::_sonnyLight:
0:04 | ⚡Shirarin Ꮚ･ω･Ꮚ : :microphone:(^o^)7:birthday_cake:
0:04 | (New member) HANAKA: :yellow_heart::yellow_heart::yellow_heart::yellow_heart::_sonnyLight::_sonnyLight::_sonnyNegi::_sonnyNegi::_sonnyKILL:
0:04 | (New member) mintsuki: happy birthday taichou :_sonnyNipaa:
0:04 | (New member) Seven Heart: :_sonnyNegi::_sonnyNegi::_sonnyNegi::_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight:
0:04 | Notaノタ: happy birthday TAICHOU!!!!!
0:04 | Chamo: HAPPY BIRTHDAY TAICHOU!!!!!!:yellow_heart::yellow_heart::yellow_heart:
0:04 | (New member) カイちゃん.kaichan.: :_sonnyNegi::_sonnyLight::_sonnyNegi:
0:05 | (New member) にに: IKZZZZZZ:_sonnyBaibai:
0:05 | mewpis▫️: KYAAAAAAA SO EXCITEDD :virtualhug::virtualhug::virtualhug:
0:05 | (New member) rakurais: :_sonnyLight::_sonnyLmao::_sonnyLight::_sonnyLmao::_sonnyLight:
0:05 | TAEnieee: happybirthday taichou！！
0:05 | (New member) HARU: :_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi:
0:05 | Candy Chan: Happy Birthday Sonnyyyyyyyyyyyyy:yellow_heart::yellow_heart::yellow_heart:
0:05 | annie: (^o^)7:birthday_cake:
0:05 | R A: HAPPY BIRTHDAY
0:05 | (New member) SHINO: :_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi::_sonnyLight:
0:05 | EMRI: HBD TAICHOOOOU :party_popper::yellow_heart:
0:05 | (New member) hyakushikiKANON: :_sonnyKeirei::_sonnyKeirei::_sonnyKeirei:
0:05 | noelle li: ITS ABOUT TO START :microphone:(^o^)7:birthday_cake: WOOOOOO
0:05 | Zeze: Happy Birthday Taichou :party_popper::yellow_heart:
0:05 | ハラダHarada: HAPPY SONNY DAY TAICHOUUU
0:05 | yeo: IKZZZZZZZZ
0:05 | (New member) Stephanie: :microphone:(^o^)7:birthday_cake:
0:05 | (New member) Aris Chen: :_sonnyLight::_sonnyNegi::_sonnyLight:
0:05 | (New member) [antony]: WOOOOOOOOOOOOOOOOOOO:_sonnyLight::_sonnyLight::_sonnyLight:
0:05 | cassandra: (^o^)7
0:05 | あまあま飴屋: お誕生日おめでとう、隊長！
0:06 | (New member) あめの: :_sonnyNegi::_sonnyLight::_sonnyNegi:
0:06 | corro_sion: :microphone:(^o^)7:birthday_cake:
0:06 | (New member) mewg🔗: yaaayyy
0:06 | Jane: Happy birthday :yellow_heart:
0:06 | (New member) Eva Helson: :_sonnyNegi::_sonnyNegi::_sonnyNegi::_sonnyNegi::_sonnyNegi:
0:06 | Kira Wong: Happy birthday taichou!!!!
0:06 | (New member) hirokun: :_sonnyNegi::_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi::_sonnyLight:
0:06 | Yuzi lemon: :yellow_heart::yellow_heart::yellow_heart:
0:06 | (New member) Steph: :_sonnyLight::_sonnyLight::_sonnyLight:
0:06 | banana byte: 隊長happy birthday:yellow_heart::yellow_heart::yellow_heart:
0:06 | (New member) うだちゃん.: LETS GOOOOO :_sonnyNegi::_sonnyNegi:
0:06 | (New member) darldnife: HAPPY BIRTHDAAAAY TAICHOU
0:06 | (New member) rian: kwkd so many people
0:06 | (New member) Cian: :_sonnyLight::_sonnyLight::_sonnyLight:
0:06 | ナカオ: Happy Birthday!!!!!
0:07 | Loh Yong Qi: poggggggg
0:07 | ユキ: HAPPY BIRTHDAYSonny!
0:07 | 檸檬レモン._.: Happy birthday ~
0:07 | 玉葱onion: Happy Birthday!!
0:07 | (New member) Samantha Chan: IKZ!!!!!!!!!!:_sonnyNegi::_sonnyNegi::_sonnyNegi:
0:07 | (New member) ぬま: 誕生日おめでとおお！:_sonnyNegi::_sonnyNegi:
0:07 | 火鸡味锅巴: HBD to U taichou:red_heart:
0:07 | chiara: HAPPY BIRTHDAY SONNY!!
0:07 | (New member) 夜叩: :_sonnyNegi::_sonnyLight::_sonnyNegi::_sonnyLight:
0:07 | promise: happy birthday :yellow_heart::yellow_heart::yellow_heart:
0:08 | wswswsswswsw: ikzzz!!!
0:08 | Sora _yu: happy birthdayyyy
0:08 | (New member) Ciara: :microphone:(^o^)7:birthday_cake:
0:08 | (New member) Palu: :_sonnyLight::_sonnyNegi::_sonnyLight::_sonnyNegi:.
